scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,93.200836,6900,3,0,0,2400,0,0,59.01235
1,1,0,114.08094,6900,3,500,1999.9833,2400,0,0,52.594242
1,2,0,105.08385,6900,3,0,0,2400,0,0,57.097263
1,3,0,107.63405,6900,3,0,0,2400,270,1999.9833,55.744442
1,4,0,98.3578,6900,3,0,0,2400,0,0,58.25669
1,5,0,131.55,8552.927,4,500,1999.9839,2400,360,1999.9839,47.358418
1,6,0,101.74666,6900,3,0,0,2400,0,0,57.692307
1,7,0,118.03755,6900,3,300,1999.9838,2400,0,0,52.271496
1,8,0,118.03755,6900,3,0,0,2400,0,0,52.271496
1,9,0,110.85502,6900,3,0,0,2400,270,1999.9838,55.65828
1,10,0,102.49978,6900,3,0,0,2400,0,0,57.56109
1,0,1,113.58545,6900,3,0,0,2400,0,0,55.46485
1,1,1,133.9561,6900,3,500,1999.9854,2400,0,0,50.762897
1,2,1,130.92758,6900,3,0,0,2400,0,0,51.937096
1,3,1,122.93263,6900,3,0,0,2400,270,1999.9854,51.937096
1,4,1,120.99887,6900,3,0,0,2400,0,0,53.96743
1,5,1,151.4635,8594.496,4,500,1999.9858,2400,360,1999.9858,46.413822
1,6,1,125.96414,6900,3,0,0,2400,0,0,48.937008
1,7,1,134.99904,6900,3,300,1999.9857,2400,0,0,50.57161
1,8,1,134.99904,6900,3,0,0,2400,0,0,50.57161
1,9,1,124.817474,6900,3,0,0,2400,270,1999.9857,51.11113
1,10,1,124.50554,6900,3,0,0,2400,0,0,53.23021
1,0,2,113.58545,6900,3,0,0,2400,0,0,55.46485
1,1,2,133.9561,6900,3,500,1999.9854,2400,0,0,50.762897
1,2,2,130.92758,6900,3,0,0,2400,0,0,51.937096
1,3,2,122.93263,6900,3,0,0,2400,270,1999.9854,51.937096
1,4,2,120.99887,6900,3,0,0,2400,0,0,53.96743
1,5,2,151.4635,8594.496,4,500,1999.9858,2400,360,1999.9858,45.336517
1,6,2,125.96414,6900,3,0,0,2400,0,0,43.739883
1,7,2,134.99904,6900,3,300,1999.9857,2400,0,0,50.57161
1,8,2,134.99904,6900,3,0,0,2400,0,0,50.57161
1,9,2,124.817474,6900,3,0,0,2400,270,1999.9857,51.11113
1,10,2,124.50554,6900,3,0,0,2400,0,0,53.23021
1,0,3,113.58545,6900,3,0,0,2400,0,0,55.46485
1,1,3,133.9561,6900,3,500,1999.9854,2400,0,0,50.762897
1,2,3,130.92758,6900,3,0,0,2400,0,0,51.937096
1,3,3,122.93263,6900,3,0,0,2400,270,1999.9854,51.937096
1,4,3,120.99887,6900,3,0,0,2400,0,0,53.96743
1,5,3,151.4635,8594.496,4,500,1999.9858,2400,360,1999.9858,37.946625
1,6,3,125.96414,6900,3,0,0,2400,0,0,42.88017
1,7,3,134.99904,6900,3,300,1999.9857,2400,0,0,50.57161
