Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,93.200836,22.916666,22.916666,26.666426,3.40E+38,3.40E+38,0,0,0,0,22.916666,135
1,0,0,32.409363,25,25,28.74976,3.40E+38,3.40E+38,2.0833333,0,0,3.81E-06,25,135
2,0,0,45.37712,25,25,28.74976,3.40E+38,3.40E+38,0,0,0,3.81E-06,25,135
3,0,0,30.577858,23.875,23.875,28.75,3.40E+38,3.40E+38,0,1.125,0,1.91E-06,25,135
4,0,0,98.3578,23.875,23.875,33.553864,3.40E+38,3.40E+38,0,0,0,0,23.875,135
5,0,0,65.775,24.458334,24.458334,28.75,3.40E+38,3.40E+38,2.0833333,1.5,0,0,25.958334,180
6,0,0,101.74666,24.458334,24.458334,27.499765,3.40E+38,3.40E+38,0,0,0,0,24.458334,135
7,0,0,25.485384,25.708334,25.708334,28.749765,3.40E+38,3.40E+38,1.25,0,0,1.91E-06,25.708334,135
8,0,0,8.048014,25.708334,25.708334,28.749765,3.40E+38,3.40E+38,0,0,0,0,25.708334,135
9,0,0,23.934607,24.583334,24.583334,28.75,3.40E+38,3.40E+38,0,1.125,0,0,25.708334,135
10,0,0,102.49978,24.583334,24.583334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,24.583334,135
0,0,1,93.200836,22.916666,22.916666,26.666426,3.40E+38,3.40E+38,0,0,0,0,22.916666,223.2609
1,0,1,32.409355,25.000004,25.000004,28.74976,3.40E+38,3.40E+38,2.0833333,0,0,0,25.000004,191.73596
2,0,1,45.377113,25.000008,25.000008,28.74976,3.40E+38,3.40E+38,0,0,0,0,25.000008,191.73596
3,0,1,30.577856,23.87501,23.87501,28.75,3.40E+38,3.40E+38,0,1.1250004,0,0,25.00001,191.73596
4,0,1,98.3578,23.87501,23.87501,33.553864,3.40E+38,3.40E+38,0,0,0,0,23.87501,208.76088
5,0,1,65.775,24.458344,24.458344,28.75,3.40E+38,3.40E+38,2.0833333,1.5000006,0,0,25.958344,337.52472
6,0,1,101.74666,24.458344,24.458344,27.499765,3.40E+38,3.40E+38,0,0,0,0,24.458344,199.93475
7,0,1,25.48538,25.708345,25.708345,28.749765,3.40E+38,3.40E+38,1.25,0,0,0,25.708345,181.01857
8,0,1,8.048014,25.708345,25.708345,28.749765,3.40E+38,3.40E+38,0,0,0,0,25.708345,181.01857
9,0,1,23.934607,24.583345,24.583345,28.75,3.40E+38,3.40E+38,0,1.1250006,0,0,25.708345,181.01857
10,0,1,102.49978,24.583345,24.583345,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,24.583345,198.04346
0,0,2,93.200836,22.916666,22.916666,26.666426,3.40E+38,3.40E+38,0,0,0,0,22.916666,223.2609
1,0,2,32.409355,25,25,28.74976,3.40E+38,3.40E+38,2.0833333,0,0,0,25,191.73592
2,0,2,45.377113,25,25,28.74976,3.40E+38,3.40E+38,0,0,0,0,25,191.73584
3,0,2,30.577858,23.875,23.875,28.75,3.40E+38,3.40E+38,0,1.125,0,1.91E-06,25,191.73582
4,0,2,98.3578,23.875,23.875,33.553864,3.40E+38,3.40E+38,0,0,0,0,23.875,208.76071
5,0,2,65.775,24.458334,24.458334,28.75,3.40E+38,3.40E+38,2.0833333,1.5,0,0,25.958334,337.5246
6,0,2,101.74666,24.458334,24.458334,27.499765,3.40E+38,3.40E+38,0,0,0,0,24.458334,199.93465
7,0,2,25.48538,25.708334,25.708334,28.749765,3.40E+38,3.40E+38,1.25,0,0,0,25.708334,181.01839
8,0,2,8.048014,25.708334,25.708334,28.749765,3.40E+38,3.40E+38,0,0,0,0,25.708334,181.01839
9,0,2,23.934607,24.583334,24.583334,28.75,3.40E+38,3.40E+38,0,1.125,0,0,25.708334,181.01839
10,0,2,102.49978,24.583334,24.583334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,24.583334,198.04327
0,0,3,93.200836,22.916666,22.916666,26.666426,3.40E+38,3.40E+38,0,0,0,0,22.916666,223.2609
1,0,3,32.409355,25,25,28.74976,3.40E+38,3.40E+38,2.0833333,0,0,0,25,191.73596
2,0,3,45.377113,25,25,28.74976,3.40E+38,3.40E+38,0,0,0,0,25,191.73596
3,0,3,30.577856,23.875002,23.875002,28.75,3.40E+38,3.40E+38,0,1.125,0,0,25.000002,191.73596
4,0,3,98.3578,23.875002,23.875002,33.553864,3.40E+38,3.40E+38,0,0,0,0,23.875002,208.76088
5,0,3,65.775,24.458336,24.458336,28.75,3.40E+38,3.40E+38,2.0833333,1.5000001,0,0,25.958336,337.52472
6,0,3,101.74666,24.458336,24.458336,27.499765,3.40E+38,3.40E+38,0,0,0,0,24.458336,199.93475
7,0,3,25.485382,25.708336,25.708336,28.749765,3.40E+38,3.40E+38,1.25,0,0,0,25.708336,181.01857
8,0,3,8.048012,25.708336,25.708336,28.749765,3.40E+38,3.40E+38,0,0,0,0,25.708336,181.01857
9,0,3,23.934608,24.583336,24.583336,28.75,3.40E+38,3.40E+38,0,1.1250001,0,1.91E-06,25.708336,181.01857
10,0,3,102.49978,24.583336,24.583336,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,24.583336,198.04346
0,0,4,93.200836,22.916666,22.916666,26.666426,3.40E+38,3.40E+38,0,0,0,0,22.916666,223.2609
1,0,4,32.409355,25,25,28.74976,3.40E+38,3.40E+38,2.0833333,0,0,0,25,191.73596
2,0,4,45.377113,25,25,28.74976,3.40E+38,3.40E+38,0,0,0,0,25,191.73596
3,0,4,30.577858,23.875,23.875,28.75,3.40E+38,3.40E+38,0,1.125,0,1.91E-06,25,191.73593
4,0,4,98.3578,23.875,23.875,33.553864,3.40E+38,3.40E+38,0,0,0,0,23.875,208.76083
