scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
0,0,0,63.066666,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
0,1,0,77.35303,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.736057
0,2,0,70.566666,6900.0,3,0.0,0.0,2400,0.0,0.0,59.75363
0,3,0,75.18994,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.31073
0,4,0,66.066666,6900.0,3,0.0,0.0,2400,0.0,0.0,59.9848
0,5,0,91.65717,8383.357,4,540.0,2000.0,2400,360.0,2000.0,49.139633
0,6,0,69.066666,6900.0,3,0.0,0.0,2400,0.0,0.0,59.982227
0,7,0,84.449814,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.399166
0,8,0,84.449814,6900.0,3,0.0,0.0,2400,0.0,0.0,54.399166
0,9,0,81.6836,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.2414
0,10,0,72.066666,6900.0,3,0.0,0.0,2400,0.0,0.0,59.97927
0,0,1,62.2,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
0,1,1,76.339355,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.781708
0,2,1,69.7,6900.0,3,0.0,0.0,2400,0.0,0.0,59.755768
0,3,1,74.25574,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.318886
0,4,1,65.2,6900.0,3,0.0,0.0,2400,0.0,0.0,59.984833
0,5,1,90.4871,8376.937,4,540.0,2000.0,2400,360.0,2000.0,49.200382
0,6,1,68.2,6900.0,3,0.0,0.0,2400,0.0,0.0,59.982327
0,7,1,83.41567,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.4502
0,8,1,83.41567,6900.0,3,0.0,0.0,2400,0.0,0.0,54.4502
0,9,1,80.74263,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.25282
0,10,1,71.2,6900.0,3,0.0,0.0,2400,0.0,0.0,59.979332
0,0,2,61.333332,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
0,1,2,75.328354,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.82663
0,2,2,68.833336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.75787
0,3,2,73.32241,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.326572
0,4,2,64.333336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.984863
0,5,2,89.31996,8370.356,4,540.0,2000.0,2400,360.0,2000.0,49.261105
0,6,2,67.333336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.982426
0,7,2,82.38471,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.50041
0,8,2,82.38471,6900.0,3,0.0,0.0,2400,0.0,0.0,54.50041
0,9,2,79.80271,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.263752
0,10,2,70.333336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.979393
0,0,3,60.466667,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
0,1,3,74.31996,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.870857
