Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,135.0,0.0
1,0,0,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,135.0,0.0
2,0,0,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,135.0,0.0
3,0,0,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,135.0,0.0
4,0,0,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,135.0,0.0
5,0,0,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,180.0,0.0
6,0,0,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,135.0,0.0
7,0,0,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,135.0,0.0
8,0,0,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,135.0,0.0
9,0,0,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,135.0,0.0
10,0,0,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,135.0,0.0
0,0,1,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,1,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,1,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,1,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,1,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,1,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,1,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,1,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,1,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,1,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,1,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,2,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,2,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,2,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,2,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,2,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,2,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,2,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,2,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,2,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,2,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,2,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,3,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,3,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,3,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,3,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,3,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,3,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,3,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,3,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,3,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,3,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,3,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,4,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,4,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,4,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,4,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,4,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
