Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,UV,SF,KQ,
0,0,0,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,180
1,0,0,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,180
2,0,0,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,180
3,0,0,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,225
4,0,0,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,90
5,0,0,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,135
6,0,0,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,90
0,0,1,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,1,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,1,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,1,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
4,0,1,48.000565,16.316683,16.316683,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316683,143.40836
5,0,1,62.8834,16.350014,16.350014,20,3.40E+38,3.40E+38,1.175,1.1416676,0,0,17.491682,316.36932
6,0,1,6.283264,16.350014,16.350014,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350014,142.92502
0,0,2,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,2,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,2,25.493855,22.725002,22.725002,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725002,430.48737
3,0,2,107.82579,16.316675,16.316675,20,3.40E+38,3.40E+38,3.2916667,9.700001,0,0,26.016676,572.7566
4,0,2,48.000557,16.316679,16.316679,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.316679,143.40811
5,0,2,62.883404,16.35001,16.35001,20,3.40E+38,3.40E+38,1.175,1.1416674,0,3.81E-06,17.491676,316.36908
6,0,2,6.283264,16.35001,16.35001,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.35001,142.9248
0,0,3,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,3,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,3,25.493855,22.725006,22.725006,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725006,430.4875
3,0,3,107.82579,16.31667,16.31667,20,3.40E+38,3.40E+38,3.2916667,9.700002,0,0,26.01667,572.7567
4,0,3,48.00056,16.31667,16.31667,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.31667,143.40816
5,0,3,62.8834,16.350006,16.350006,20,3.40E+38,3.40E+38,1.175,1.1416668,0,0,17.491673,316.3692
6,0,3,6.283264,16.350006,16.350006,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350006,142.92485
0,0,4,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,4,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,4,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,430.4874
3,0,4,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,572.7568
4,0,4,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,143.4083
5,0,4,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,316.36923
6,0,4,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,142.9249
0,0,5,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,5,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,5,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,5,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
