scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,60,6900,3,0,0,2400,0,0,60
1,1,0,60.016666,9200,4,1,2100,2400,0,0,60
1,2,0,60.016666,9200,4,0,0,2400,0,0,60
1,3,0,60.016666,9200,4,0,0,2400,1,2100,60
1,4,0,62.401077,6900,3,0,0,2400,1,2100,57.69131
1,5,0,59.983334,6900,3,0,0,2400,0,0,59.56018
1,6,0,60,9200,4,1,2100,2400,0,0,59.91621
1,7,0,60,9200,4,0,0,2400,0,0,59.99928
1,0,1,60,6900,3,0,0,2400,0,0,60
1,1,1,60.016666,9200,4,1,2100,2400,0,0,60
1,2,1,60.016666,9200,4,0,0,2400,0,0,60
1,3,1,60.016666,9200,4,0,0,2400,1,2100,60
1,4,1,62.401077,6900,3,0,0,2400,1,2100,57.69131
1,5,1,59.983334,6900,3,0,0,2400,0,0,59.56018
1,6,1,60,9200,4,1,2100,2400,0,0,59.91621
1,7,1,60,9200,4,0,0,2400,0,0,59.99928
1,0,2,60,6900,3,0,0,2400,0,0,60
1,1,2,60.016666,9200,4,1,2100,2400,0,0,60
1,2,2,60.016666,9200,4,0,0,2400,0,0,60
1,3,2,60.016666,9200,4,0,0,2400,1,2100,60
1,4,2,62.401077,6900,3,0,0,2400,1,2100,57.69131
1,5,2,59.983334,6900,3,0,0,2400,0,0,59.56018
1,6,2,60,9200,4,1,2100,2400,0,0,59.91621
1,7,2,60,9200,4,0,0,2400,0,0,59.99928
1,0,3,60,6900,3,0,0,2400,0,0,60
1,1,3,60.016666,9200,4,1,2100,2400,0,0,60
1,2,3,60.016666,9200,4,0,0,2400,0,0,60
1,3,3,60.016666,9200,4,0,0,2400,1,2100,60
1,4,3,62.401077,6900,3,0,0,2400,1,2100,57.69131
1,5,3,59.983334,6900,3,0,0,2400,0,0,59.56018
1,6,3,60,9200,4,1,2100,2400,0,0,59.91621
1,7,3,60,9200,4,0,0,2400,0,0,59.99928
1,0,4,60,6900,3,0,0,2400,0,0,60
1,1,4,60.016666,9200,4,1,2100,2400,0,0,60
1,2,4,60.016666,9200,4,0,0,2400,0,0,60
1,3,4,60.016666,9200,4,0,0,2400,1,2100,60
1,4,4,62.401077,6900,3,0,0,2400,1,2100,57.69131
1,5,4,59.983334,6900,3,0,0,2400,0,0,59.56018
1,6,4,60,9200,4,1,2100,2400,0,0,59.91621
1,7,4,60,9200,4,0,0,2400,0,0,59.99928
