Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,135
1,0,0,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,135
2,0,0,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,135
3,0,0,35.875023,20,20.208334,20,3.40E+38,3.40E+38,0,0,0,0.20833588,20,135
4,0,0,45,20,20,30,3.40E+38,3.40E+38,0,0,0,0,20,90
5,0,0,35.217392,20,20,30,3.40E+38,3.40E+38,0,0,0,0,20,135
6,0,0,35.217392,20,20,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20,135
0,0,1,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,276.97916
1,0,1,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,276.97916
2,0,1,35.666687,20.208334,20.208334,30,124.12498,3.40E+38,0,0,0,0,20.208334,276.97916
3,0,1,36.08336,20,20.41667,20,3.40E+38,3.40E+38,0,0,0,0.41667175,20,280
4,0,1,45,20,20,30,3.40E+38,3.40E+38,0,0,0,0,20,90
5,0,1,35.217392,20,20,30,3.40E+38,3.40E+38,0,0,0,0,20,280
6,0,1,35.217392,20,20,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20,280
0,0,2,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,276.97916
1,0,2,35.666687,20.208334,20.208334,30,3.40E+38,3.40E+38,0,0,0,0,20.208334,276.97916
2,0,2,35.666687,20.208334,20.208334,30,123.91664,3.40E+38,0,0,0,0,20.208334,276.97916
3,0,2,36.291695,20,20.625006,20,3.40E+38,3.40E+38,0,0,0,0.6250076,20,280
4,0,2,45,20,20,30,3.40E+38,3.40E+38,0,0,0,0,20,90
