scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,1,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,2,0,63.905327,4800.0,2,0.0,0.0,2400,0.0,0.0,62.59257
1,3,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,4,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,0,1,84.152534,7200.0,3,0.0,0.0,2400,0.0,0.0,43.48293
1,1,1,84.152534,7200.0,3,0.0,0.0,2400,0.0,0.0,21.161638
1,2,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,3,1,70.434784,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,4,1,70.434784,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,0,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,43.961216
1,1,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,17.490522
1,2,2,78.61693,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,3,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,4,2,65.2568,7200.0,3,0.0,0.0,2400,0.0,0.0,68.14815
1,0,3,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.794235
1,1,3,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,45.732346
1,2,3,63.905327,4800.0,2,0.0,0.0,2400,0.0,0.0,58.940884
1,3,3,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.26694
1,4,3,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0,69.26694
