Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,135
1,0,0,32.628387,225,225,240,3.40E+38,3.40E+38,0,0,0,0,225,135
2,0,0,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,90
3,0,0,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,135
4,0,0,34.855316,200,200,360,3.40E+38,3.40E+38,0,25,0,0,225,135
5,0,0,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,135
0,0,1,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
1,0,1,32.628387,225,225,240,3.40E+38,3.40E+38,0,0,0,0,225,298.125
2,0,1,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,108.125
3,0,1,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
4,0,1,34.855316,200,200,360,3.40E+38,3.40E+38,0,25,0,0,225,298.125
5,0,1,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,2,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
1,0,2,32.628387,225,225,240,3.40E+38,3.40E+38,0,0,0,0,225,298.125
2,0,2,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,108.125
3,0,2,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
4,0,2,34.855316,200,200,360,3.40E+38,3.40E+38,0,25,0,0,225,298.125
5,0,2,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,3,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
1,0,3,32.628387,225,225,240,3.40E+38,3.40E+38,0,0,0,0,225,298.125
2,0,3,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,108.125
3,0,3,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
4,0,3,34.855316,200,200,360,3.40E+38,3.40E+38,0,25,0,0,225,298.125
5,0,3,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,4,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
1,0,4,32.628387,225,225,240,3.40E+38,3.40E+38,0,0,0,0,225,298.125
2,0,4,39.30847,225,225,360,3.40E+38,3.40E+38,0,0,0,7.63E-06,225,108.125
3,0,4,32.628387,225,225,360,3.40E+38,3.40E+38,0,0,0,0,225,298.125
4,0,4,34.855316,200,200,360,3.40E+38,3.40E+38,0,25,0,0,225,298.125
5,0,4,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,1,0,37.9993,255,255,360,3.40E+38,3.40E+38,0,0,0,0,255,298.125
