Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,135
1,0,0,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,135
2,0,0,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,90
3,0,0,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,135
4,0,0,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,135
5,0,0,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,135
0,0,1,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,1,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,1,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,1,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,1,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
5,0,1,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,328.33334
0,0,2,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,2,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,2,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,2,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,2,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
5,0,2,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,328.33334
0,0,3,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,3,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,3,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,3,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,3,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
5,0,3,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,328.33334
0,0,4,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,4,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,4,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,4,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,4,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
5,0,4,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,328.33334
0,0,5,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,5,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,5,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,5,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,5,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
5,0,5,28.65566,16.666666,16.666666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,16.666666,328.33334
0,0,6,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
1,0,6,32.6284,18.75,18.75,20,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
2,0,6,39.308464,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,108.125
3,0,6,32.6284,18.75,18.75,30,3.40E+38,3.40E+38,0,0,0,0,18.75,298.125
4,0,6,34.855316,16.666666,16.666666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,18.75,298.125
