scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,84.152534,7200,3,0,0,2400,0,0,65.35751
1,1,0,84.152534,7200,3,0,0,2400,0,0,65.35751
1,2,0,100.40959,7200,3,500,2099.9824,2400,0,0,59.755253
1,3,0,95.85847,7200,3,0,0,2400,0,0,62.59228
1,4,0,93.357025,7200,3,0,0,2400,500,2099.9824,62.59228
1,5,0,84.152534,7200,3,0,0,2400,0,0,65.35751
1,6,0,84.152534,7200,3,0,0,2400,0,0,65.35751
1,0,1,119.652435,7200,3,0,0,2400,0,0,56.64389
1,1,1,119.652435,7200,3,0,0,2400,0,0,46.25642
1,2,1,133.69131,7200,3,500,2099.9856,2400,0,0,53.33336
1,3,1,134.99907,7200,3,0,0,2400,0,0,53.33336
1,4,1,112.990944,7200,3,0,0,2400,500,2099.9856,53.33335
1,5,1,116.23413,7200,3,0,0,2400,0,0,57.58712
1,6,1,116.23413,7200,3,0,0,2400,0,0,57.58712
1,0,2,116.23578,7200,3,0,0,2400,0,0,57.121826
1,1,2,116.23578,7200,3,0,0,2400,0,0,40.581806
1,2,2,130.0205,7200,3,500,2099.9854,2400,0,0,53.33335
1,3,2,134.99905,7200,3,0,0,2400,0,0,53.33335
1,4,2,112.99093,7200,3,0,0,2400,500,2099.9854,53.33335
1,5,2,116.2341,7200,3,0,0,2400,0,0,57.641064
1,6,2,116.2341,7200,3,0,0,2400,0,0,57.641064
1,0,3,84.152534,7200,3,0,0,2400,0,0,65.34701
1,1,3,84.152534,7200,3,0,0,2400,0,0,65.25135
1,2,3,100.40959,7200,3,500,2099.9824,2400,0,0,59.51885
1,3,3,95.85847,7200,3,0,0,2400,0,0,61.96148
1,4,3,93.357025,7200,3,0,0,2400,500,2099.9824,61.96148
1,5,3,84.152534,7200,3,0,0,2400,0,0,64.89828
1,6,3,84.152534,7200,3,0,0,2400,0,0,64.89828
