Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,42.07627,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916666,135
1,0,0,42.07627,22.916666,22.916666,27.916416,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916666,135
2,0,0,50.204796,25,25,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25,135
3,0,0,47.92923,25,25,29.99975,3.40E+38,3.40E+38,0,0,0,0,25,135
4,0,0,46.678513,22.916666,22.916666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,25,135
5,0,0,42.07627,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916666,135
6,0,0,42.07627,22.916666,22.916666,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916666,135
0,0,1,42.076263,22.91667,22.91667,30,3.40E+38,3.40E+38,0,0,0,0,22.91667,237.70834
1,0,1,42.07627,22.916674,22.916674,27.916416,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916674,237.70834
2,0,1,50.204796,25.000008,25.000008,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25.000008,207.49698
3,0,1,47.92923,25.000008,25.000008,29.99975,3.40E+38,3.40E+38,0,0,0,0,25.000008,207.49698
4,0,1,46.678513,22.916674,22.916674,30,3.40E+38,3.40E+38,0,2.083334,0,0,25.000008,207.49698
5,0,1,42.076263,22.916677,22.916677,30,3.40E+38,3.40E+38,0,0,0,0,22.916677,237.70834
6,0,1,42.07627,22.916681,22.916681,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916681,237.70834
0,0,2,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70828
1,0,2,42.076263,22.91667,22.91667,27.916416,3.40E+38,3.40E+38,0,0,0,0,22.91667,237.70822
2,0,2,50.204796,25.000004,25.000004,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25.000004,207.49686
3,0,2,47.929226,25.000004,25.000004,29.99975,3.40E+38,3.40E+38,0,0,0,0,25.000004,207.49686
4,0,2,46.67851,22.91667,22.91667,30,3.40E+38,3.40E+38,0,2.0833337,0,0,25.000004,207.49686
5,0,2,42.076263,22.91667,22.91667,30,3.40E+38,3.40E+38,0,0,0,0,22.91667,237.70819
6,0,2,42.07627,22.916674,22.916674,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,22.916674,237.70813
0,0,3,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
1,0,3,42.076263,22.916666,22.916666,27.916416,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70828
2,0,3,50.204796,25,25,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25,207.49692
3,0,3,47.92923,25,25,29.99975,3.40E+38,3.40E+38,0,0,0,0,25,207.49692
4,0,3,46.678513,22.916666,22.916666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,25,207.49692
5,0,3,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70828
6,0,3,42.076263,22.91667,22.91667,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,22.91667,237.70822
0,0,4,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
1,0,4,42.076263,22.916666,22.916666,27.916416,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
2,0,4,50.204796,25,25,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25,207.49698
3,0,4,47.92923,25,25,29.99975,3.40E+38,3.40E+38,0,0,0,0,25,207.49698
4,0,4,46.678513,22.916666,22.916666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,25,207.49698
5,0,4,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
6,0,4,42.076263,22.916666,22.916666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70828
0,0,5,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
1,0,5,42.076263,22.916666,22.916666,27.916416,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
2,0,5,50.204796,25,25,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25,207.49698
3,0,5,47.92923,25,25,29.99975,3.40E+38,3.40E+38,0,0,0,0,25,207.49698
4,0,5,46.678513,22.916666,22.916666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,25,207.49698
5,0,5,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
6,0,5,42.076263,22.916666,22.916666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
0,0,6,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
1,0,6,42.076263,22.916666,22.916666,27.916416,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
2,0,6,50.204796,25,25,29.99975,3.40E+38,3.40E+38,2.0833333,0,0,0,25,207.49698
3,0,6,47.92923,25,25,29.99975,3.40E+38,3.40E+38,0,0,0,0,25,207.49698
4,0,6,46.678513,22.916666,22.916666,30,3.40E+38,3.40E+38,0,2.0833333,0,0,25,207.49698
5,0,6,42.076263,22.916666,22.916666,30,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
6,0,6,42.076263,22.916666,22.916666,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,22.916666,237.70834
