scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,84.32548,7200.0,3,0.0,0.0,2400,0.0,0.0,65.318344
1,1,0,84.45436,7200.0,3,0.0,0.0,2400,82.0,2100.0,65.218666
1,2,0,84.004555,7200.0,3,0.0,0.0,2400,409.0,2100.0,64.591736
1,3,0,74.416504,7200.0,3,0.0,0.0,2400,0.0,0.0,67.41783
1,4,0,88.888435,7200.0,3,453.0,2100.0,2400,0.0,0.0,61.537807
1,5,0,135.0,7200.0,3,1784.0,2200.0,2400,0.0,0.0,42.75865
1,6,0,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,42.75865
1,7,0,107.34552,9600.0,4,0.0,0.0,2400,227.0,2100.0,61.91722
1,8,0,104.724464,9600.0,4,0.0,0.0,2400,0.0,0.0,66.57895
1,9,0,135.17882,11767.496,5,636.0,2100.0,2400,230.0,2100.0,56.687874
1,10,0,113.19459,9600.0,4,0.0,0.0,2400,0.0,0.0,65.17647
1,11,0,144.71568,11254.043,5,765.0,2100.0,2400,181.0,2100.0,56.64901
1,12,0,126.87432,9600.0,4,0.0,0.0,2400,0.0,0.0,62.742863
1,13,0,150.84798,11238.911,5,698.0,4400.0,2400,2370.0,4400.0,57.773396
1,14,0,91.98462,9600.0,4,0.0,0.0,2400,0.0,0.0,68.35307
1,15,0,105.98448,9600.0,4,434.0,2100.0,2400,0.0,0.0,63.435734
1,16,0,102.24682,12000.0,5,375.0,2100.0,2400,0.0,0.0,69.35637
1,17,0,102.24682,12000.0,5,0.0,0.0,2400,0.0,0.0,69.42146
1,18,0,102.24682,12000.0,5,0.0,0.0,2400,378.0,2100.0,69.42146
1,19,0,100.354256,9600.0,4,0.0,0.0,2400,301.0,2100.0,66.97743
1,20,0,94.288895,9600.0,4,0.0,0.0,2400,0.0,0.0,68.048935
1,21,0,110.08302,9600.0,4,518.0,2100.0,2400,0.0,0.0,63.01298
1,22,0,104.0481,9600.0,4,0.0,0.0,2400,0.0,0.0,66.62406
1,23,0,103.55611,9600.0,4,0.0,0.0,2400,326.0,2100.0,66.62406
1,24,0,97.79322,9600.0,4,0.0,0.0,2400,0.0,0.0,67.56202
1,25,0,116.78418,9600.0,4,701.0,2100.0,2400,0.0,0.0,62.60257
1,26,0,122.80387,9600.0,4,330.0,2100.0,2400,0.0,0.0,62.220615
1,27,0,119.159966,9600.0,4,0.0,0.0,2400,0.0,0.0,64.05478
1,28,0,115.68556,9600.0,4,0.0,0.0,2400,653.0,2100.0,64.05478
1,29,0,105.08448,9600.0,4,0.0,0.0,2400,0.0,0.0,66.446205
1,30,0,116.25323,12000.0,5,945.0,4400.0,2400,2781.0,4400.0,48.1276
1,31,0,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,32,0,76.71518,7200.0,3,337.0,2100.0,2400,329.0,2100.0,63.293934
1,33,0,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,0,1,85.28429,7200.0,3,0.0,0.0,2400,0.0,0.0,65.099915
1,1,1,85.14866,7200.0,3,0.0,0.0,2400,82.0,2100.0,65.099915
1,2,1,84.70628,7200.0,3,0.0,0.0,2400,411.0,2100.0,64.57608
1,3,1,75.21279,7200.0,3,0.0,0.0,2400,0.0,0.0,67.26249
1,4,1,89.71098,7200.0,3,455.0,2100.0,2400,0.0,0.0,61.464035
1,5,1,135.0,7200.0,3,1793.0,2200.0,2400,0.0,0.0,43.12853
1,6,1,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,43.12853
1,7,1,107.34843,9600.0,4,0.0,0.0,2400,228.0,2100.0,62.026966
1,8,1,104.7045,9600.0,4,0.0,0.0,2400,0.0,0.0,66.5769
1,9,1,136.33426,11768.941,5,640.0,2100.0,2400,231.0,2100.0,56.6182
1,10,1,113.23824,9600.0,4,0.0,0.0,2400,0.0,0.0,65.15711
1,11,1,148.81857,11182.661,5,768.0,2100.0,2400,182.0,2100.0,55.476948
1,12,1,126.975105,9600.0,4,0.0,0.0,2400,0.0,0.0,62.704887
1,13,1,150.82364,11345.567,5,702.0,4400.0,2400,2381.0,4400.0,58.187164
1,14,1,91.93207,9600.0,4,0.0,0.0,2400,0.0,0.0,68.321434
1,15,1,105.9682,9600.0,4,436.0,2100.0,2400,0.0,0.0,63.41948
1,16,1,102.24682,12000.0,5,376.0,2100.0,2400,0.0,0.0,69.354774
1,17,1,102.24682,12000.0,5,0.0,0.0,2400,0.0,0.0,69.40328
1,18,1,102.24682,12000.0,5,0.0,0.0,2400,379.0,2100.0,69.40328
1,19,1,100.34498,9600.0,4,0.0,0.0,2400,303.0,2100.0,66.96852
1,20,1,94.235115,9600.0,4,0.0,0.0,2400,0.0,0.0,68.006485
