Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,135.0,0.0
1,0,0,23.992718,22.608334,22.608334,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,1.9073486E-6,22.95,135.0,0.0
2,0,0,23.864933,20.904167,20.904167,30.0,3.4028235E38,3.4028235E38,0.0,1.7041668,0.0,1.9073486E-6,22.608334,135.0,0.0
3,0,0,12.0504,20.904167,20.904167,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904167,135.0,0.0
4,0,0,21.88541,22.791668,22.791668,22.820833,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791668,135.0,0.0
5,0,0,32.727272,29.970835,29.970835,40.0,3.4028235E38,3.4028235E38,7.179167,0.0,0.0,0.0,29.970835,135.0,0.2541666
6,0,0,5.624998,29.970835,29.970835,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.970835,180.0,0.0
7,0,0,26.023157,29.032955,29.032955,40.0,3.4028235E38,3.4028235E38,0.0,0.9378797,0.0,0.0,29.970835,180.0,0.0
8,0,0,8.132015,29.032955,29.032955,46.531235,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,29.032955,180.0,0.0
9,0,0,102.40819,30.586514,30.586514,40.0,3.4028235E38,3.4028235E38,2.5,0.9464413,0.0,0.0,31.532955,225.0,0.1500001
10,0,0,9.218498,30.586514,30.586514,44.091846,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.586514,180.0,0.0
11,0,0,41.112415,32.649387,32.649387,40.0,3.4028235E38,3.4028235E38,2.8,0.737126,0.0,3.8146973E-6,33.386513,225.0,0.38750005
12,0,0,9.97213,32.649387,32.649387,43.970463,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.649387,180.0,0.0
13,0,0,94.27998,25.851578,25.851578,40.0,3.4028235E38,3.4028235E38,2.8583333,9.656144,0.0,0.0,35.50772,225.0,0.049999952
14,0,0,27.874126,25.851578,25.851578,38.308334,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.851578,180.0,0.0
15,0,0,21.076458,27.543245,27.543245,48.9625,3.4028235E38,3.4028235E38,1.6916667,0.0,0.0,0.0,27.543245,180.0,0.116666555
16,0,0,35.186073,28.580746,28.580746,50.0,3.4028235E38,3.4028235E38,1.0375,0.0,0.0,0.0,28.580746,225.0,0.525
17,0,0,13.419895,28.580746,28.580746,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.580746,225.0,0.0
18,0,0,29.047394,27.070608,27.070608,40.0,3.4028235E38,3.4028235E38,0.0,1.5101372,0.0,0.0,28.580746,225.0,0.0
19,0,0,31.360704,25.868092,25.868092,40.0,3.4028235E38,3.4028235E38,0.0,1.2025167,0.0,0.0,27.070608,180.0,0.0
20,0,0,28.03666,25.868092,25.868092,37.95,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.868092,180.0,0.0
21,0,0,31.273586,27.91809,27.91809,40.0,3.4028235E38,3.4028235E38,2.05,0.0,0.0,0.0,27.91809,180.0,0.10833335
22,0,0,11.823647,27.91809,27.91809,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,27.91809,180.0,0.0
23,0,0,29.41935,26.616604,26.616604,40.0,3.4028235E38,3.4028235E38,0.0,1.3014868,0.0,1.9073486E-6,27.91809,180.0,0.0
24,0,0,23.707447,26.616604,26.616604,37.325,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.616604,180.0,0.0
25,0,0,28.753681,29.291603,29.291603,38.670834,3.4028235E38,3.4028235E38,2.675,0.0,0.0,0.0,29.291603,180.0,0.2458334
26,0,0,34.88746,30.62077,30.62077,40.0,3.4028235E38,3.4028235E38,1.3291667,0.0,0.0,0.0,30.62077,180.0,0.04583335
27,0,0,151.20677,30.62077,30.62077,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.62077,180.0,0.0
28,0,0,32.865215,28.023294,28.023294,40.0,3.4028235E38,3.4028235E38,0.0,2.597475,0.0,0.0,30.62077,180.0,0.0
29,0,0,34.23207,28.023294,28.023294,46.1625,3.4028235E38,3.4028235E38,0.0,0.0,0.0,3.8146973E-6,28.023294,180.0,0.0
30,0,0,141.24397,20.0,20.771324,20.0,3.4028235E38,3.4028235E38,3.8375,11.08947,0.0,0.7713318,31.08947,225.0,0.099999905
31,0,0,69.88636,20.0,20.0,28.604166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,0,80.03823,20.0,20.126589,20.0,3.4028235E38,3.4028235E38,1.3958334,1.2692444,0.0,0.12658691,21.269245,135.0,0.008333325
33,0,0,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,1,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,237.22499,0.0
1,0,1,23.992716,22.608335,22.608335,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,0.0,22.950003,237.22499,0.0
2,0,1,23.86493,20.904171,20.904171,30.0,3.4028235E38,3.4028235E38,0.0,1.7041669,0.0,0.0,22.608337,242.17918,0.0
3,0,1,12.0504,20.904171,20.904171,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904171,266.88956,0.0
4,0,1,21.88541,22.791672,22.791672,22.820833,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791672,239.52084,0.0
5,0,1,32.727272,29.970839,29.970839,40.0,3.4028235E38,3.4028235E38,7.179167,0.0,0.0,0.0,29.970839,135.42288,0.5083332
6,0,1,5.624998,29.970839,29.970839,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.970839,325.4229,0.0
7,0,1,26.023157,29.032959,29.032959,40.0,3.4028235E38,3.4028235E38,0.0,0.93787986,0.0,0.0,29.970839,325.4229,0.0
8,0,1,8.132013,29.03296,29.03296,46.531235,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.03296,339.02216,0.0
9,0,1,102.40819,30.58652,30.58652,40.0,3.4028235E38,3.4028235E38,2.5,0.9464415,0.0,0.0,31.53296,483.73822,0.3000002
