Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,63.88294,22.95,22.95,30,3.40E+38,3.40E+38,0,0,0,0,22.95,135
1,0,0,23.992718,22.608334,22.608334,30,3.40E+38,3.40E+38,0,0.34166667,0,1.91E-06,22.95,135
2,0,0,23.864933,20.904167,20.904167,30,3.40E+38,3.40E+38,0,1.7041668,0,1.91E-06,22.608334,135
3,0,0,12.0504,20.904167,20.904167,28.1125,3.40E+38,3.40E+38,0,0,0,0,20.904167,135
4,0,0,21.88541,22.791668,22.791668,22.791668,3.40E+38,3.40E+38,1.8875,0,0,0,22.791668,135
5,0,0,32.727272,30,30,40,3.40E+38,3.40E+38,7.208332,0,0,0,30,135
6,0,0,5.625,30,30,40,3.40E+38,3.40E+38,0,0,0,0,30,180
7,0,0,26.023155,29.061207,29.061207,40,3.40E+38,3.40E+38,0,0.9387924,0,0,30,180
8,0,0,8.132015,29.061207,29.061207,46.381233,3.40E+38,3.40E+38,0,0,0,1.91E-06,29.061207,180
9,0,0,102.40819,30.759415,30.759415,40,3.40E+38,3.40E+38,2.65,0.9517914,0,0,31.711206,225
10,0,0,9.218498,30.759415,30.759415,43.704346,3.40E+38,3.40E+38,0,0,0,0,30.759415,180
11,0,0,41.11241,33.197414,33.197414,40,3.40E+38,3.40E+38,3.1875,0.74949884,0,0,33.946915,225
12,0,0,9.97213,33.197414,33.197414,43.920464,3.40E+38,3.40E+38,0,0,0,0,33.197414,180
13,0,0,94.27998,26.286972,26.286972,40,3.40E+38,3.40E+38,2.9083333,9.818774,0,0,36.105747,225
14,0,0,27.874126,26.286972,26.286972,38.191666,3.40E+38,3.40E+38,0,0,0,0,26.286972,180
15,0,0,21.076458,28.095304,28.095304,48.4375,3.40E+38,3.40E+38,1.8083333,0,0,0,28.095304,180
16,0,0,35.186073,29.657804,29.657804,50,3.40E+38,3.40E+38,1.5625,0,0,0,29.657804,225
17,0,0,13.419893,29.657804,29.657804,50,3.40E+38,3.40E+38,0,0,0,0,29.657804,225
18,0,0,29.047396,28.090757,28.090757,40,3.40E+38,3.40E+38,0,1.5670464,0,1.91E-06,29.657804,225
19,0,0,31.360704,26.842924,26.842924,40,3.40E+38,3.40E+38,0,1.2478333,0,0,28.090757,180
20,0,0,28.036661,26.842924,26.842924,37.841667,3.40E+38,3.40E+38,0,0,0,1.91E-06,26.842924,180
21,0,0,31.273584,29.001257,29.001257,40,3.40E+38,3.40E+38,2.1583333,0,0,0,29.001257,180
22,0,0,11.823648,29.001257,29.001257,40,3.40E+38,3.40E+38,0,0,0,0,29.001257,180
23,0,0,29.419348,27.649275,27.649275,40,3.40E+38,3.40E+38,0,1.351982,0,0,29.001257,180
24,0,0,23.707445,27.649275,27.649275,37.079166,3.40E+38,3.40E+38,0,0,0,0,27.649275,180
25,0,0,28.75368,30.570108,30.570108,38.625,3.40E+38,3.40E+38,2.9208333,0,0,0,30.570108,180
26,0,0,34.887466,31.945108,31.945108,40,3.40E+38,3.40E+38,1.375,0,0,3.81E-06,31.945108,180
27,0,0,151.20677,31.945108,31.945108,40,3.40E+38,3.40E+38,0,0,0,0,31.945108,180
28,0,0,32.865215,29.235294,29.235294,40,3.40E+38,3.40E+38,0,2.709815,0,0,31.94511,180
29,0,0,34.232067,29.235294,29.235294,46.0625,3.40E+38,3.40E+38,0,0,0,0,29.235294,180
30,0,0,142.0993,20,21.626669,20,3.40E+38,3.40E+38,3.9375,11.546125,0,1.6266632,31.546125,225
31,0,0,69.88636,20,20,28.595833,3.40E+38,3.40E+38,0,0,0,0,20,90
32,0,0,80.046074,20,20.134428,20,3.40E+38,3.40E+38,1.4041667,1.2697388,0,0.13442993,21.26974,135
33,0,0,9.119318,20,20,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20,90
0,0,1,63.88294,22.95,22.95,30,3.40E+38,3.40E+38,0,0,0,0,22.95,237.22499
1,0,1,23.992716,22.608335,22.608335,30,3.40E+38,3.40E+38,0,0.34166667,0,0,22.950003,237.22499
2,0,1,23.86493,20.904171,20.904171,30,3.40E+38,3.40E+38,0,1.7041669,0,0,22.608337,242.17918
3,0,1,12.0504,20.904171,20.904171,28.1125,3.40E+38,3.40E+38,0,0,0,0,20.904171,266.88956
4,0,1,21.88541,22.791672,22.791672,22.791672,3.40E+38,3.40E+38,1.8875,0,0,0,22.791672,239.52084
5,0,1,32.727272,30,30,40,3.40E+38,3.40E+38,7.2083282,0,0,0,30,135
6,0,1,5.625,30,30,40,3.40E+38,3.40E+38,0,0,0,0,30,325
7,0,1,26.023155,29.061207,29.061207,40,3.40E+38,3.40E+38,0,0.9387924,0,0,30,325
