scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,81.524086,7200.0,3,0.0,0.0,2400,0.0,0.0,65.94369
1,1,0,82.375946,7200.0,3,0.0,0.0,2400,82.0,2100.0,65.26177
1,2,0,81.91916,7200.0,3,0.0,0.0,2400,409.0,2100.0,64.624695
1,3,0,71.96893,7200.0,3,0.0,0.0,2400,0.0,0.0,67.87651
1,4,0,86.4478,7200.0,3,453.0,2100.0,2400,0.0,0.0,61.748245
1,5,0,135.0,7200.0,3,1784.0,2200.0,2400,0.0,0.0,43.59985
1,6,0,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,43.59985
1,7,0,106.123825,9600.0,4,0.0,0.0,2400,227.0,2100.0,62.166813
1,8,0,103.17985,9600.0,4,0.0,0.0,2400,0.0,0.0,66.82507
1,9,0,132.56348,11760.506,5,636.0,2100.0,2400,230.0,2100.0,56.81052
1,10,0,111.50777,9600.0,4,0.0,0.0,2400,0.0,0.0,65.47524
1,11,0,142.08284,11248.556,5,765.0,2100.0,2400,181.0,2100.0,56.7697
1,12,0,124.929825,9600.0,4,0.0,0.0,2400,0.0,0.0,63.115448
1,13,0,148.27252,11218.129,5,698.0,4400.0,2400,2370.0,4400.0,57.886654
1,14,0,90.62701,9600.0,4,0.0,0.0,2400,0.0,0.0,68.555725
1,15,0,104.63428,9600.0,4,434.0,2100.0,2400,0.0,0.0,63.526035
1,16,0,101.01208,12000.0,5,375.0,2100.0,2400,0.0,0.0,69.36522
1,17,0,101.01208,12000.0,5,0.0,0.0,2400,0.0,0.0,69.51644
1,18,0,101.01208,12000.0,5,0.0,0.0,2400,378.0,2100.0,69.51644
1,19,0,99.137314,9600.0,4,0.0,0.0,2400,301.0,2100.0,67.018166
1,20,0,92.89997,9600.0,4,0.0,0.0,2400,0.0,0.0,68.27773
1,21,0,108.712555,9600.0,4,518.0,2100.0,2400,0.0,0.0,63.11138
1,22,0,102.514244,9600.0,4,0.0,0.0,2400,0.0,0.0,66.92728
1,23,0,102.33927,9600.0,4,0.0,0.0,2400,326.0,2100.0,66.92728
1,24,0,96.35451,9600.0,4,0.0,0.0,2400,0.0,0.0,67.82247
1,25,0,115.37827,9600.0,4,701.0,2100.0,2400,0.0,0.0,62.71545
1,26,0,121.385864,9600.0,4,330.0,2100.0,2400,0.0,0.0,62.33016
1,27,0,117.36492,9600.0,4,0.0,0.0,2400,0.0,0.0,64.46558
1,28,0,114.45356,9600.0,4,0.0,0.0,2400,653.0,2100.0,64.46558
1,29,0,103.53409,9600.0,4,0.0,0.0,2400,0.0,0.0,66.77026
1,30,0,143.25713,11996.555,5,945.0,4400.0,2400,2781.0,4400.0,43.975914
1,31,0,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,32,0,76.71518,7200.0,3,337.0,2100.0,2400,329.0,2100.0,64.106606
1,33,0,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,0,1,82.36144,7200.0,3,0.0,0.0,2400,0.0,0.0,65.758934
1,1,1,83.005066,7200.0,3,0.0,0.0,2400,82.0,2100.0,65.24903
1,2,1,82.5555,7200.0,3,0.0,0.0,2400,411.0,2100.0,64.61108
1,3,1,72.665215,7200.0,3,0.0,0.0,2400,0.0,0.0,67.74906
1,4,1,87.18557,7200.0,3,455.0,2100.0,2400,0.0,0.0,61.684513
1,5,1,135.0,7200.0,3,1793.0,2200.0,2400,0.0,0.0,42.714233
1,6,1,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,42.714233
1,7,1,106.894035,9600.0,4,0.0,0.0,2400,228.0,2100.0,61.90404
1,8,1,104.127426,9600.0,4,0.0,0.0,2400,0.0,0.0,66.6779
1,9,1,133.64479,11761.814,5,640.0,2100.0,2400,231.0,2100.0,56.73996
1,10,1,112.6073,9600.0,4,0.0,0.0,2400,0.0,0.0,65.28885
1,11,1,146.03973,11175.782,5,768.0,2100.0,2400,182.0,2100.0,55.601307
1,12,1,126.24678,9600.0,4,0.0,0.0,2400,0.0,0.0,62.876873
1,13,1,148.06264,11326.219,5,702.0,4400.0,2400,2381.0,4400.0,58.353683
1,14,1,91.42544,9600.0,4,0.0,0.0,2400,0.0,0.0,68.460144
1,15,1,105.46564,9600.0,4,436.0,2100.0,2400,0.0,0.0,63.480385
1,16,1,101.78646,12000.0,5,376.0,2100.0,2400,0.0,0.0,69.36075
1,17,1,101.78646,12000.0,5,0.0,0.0,2400,0.0,0.0,69.468956
1,18,1,101.78646,12000.0,5,0.0,0.0,2400,379.0,2100.0,69.468956
1,19,1,99.89236,9600.0,4,0.0,0.0,2400,303.0,2100.0,66.99212
1,20,1,93.716736,9600.0,4,0.0,0.0,2400,0.0,0.0,68.173515
1,21,1,109.57526,9600.0,4,521.0,2100.0,2400,0.0,0.0,63.06168
1,22,1,103.47496,9600.0,4,0.0,0.0,2400,0.0,0.0,66.77945
1,23,1,103.10653,9600.0,4,0.0,0.0,2400,327.0,2100.0,66.77945
1,24,1,97.237366,9600.0,4,0.0,0.0,2400,0.0,0.0,67.700294
1,25,1,116.32008,9600.0,4,705.0,2100.0,2400,0.0,0.0,62.65469
1,26,1,123.292496,9600.0,4,380.0,2100.0,2400,0.0,0.0,62.193565
1,27,1,119.71916,9600.0,4,0.0,0.0,2400,0.0,0.0,64.04991
1,28,1,116.07532,9600.0,4,0.0,0.0,2400,656.0,2100.0,64.04991
1,29,1,105.50621,9600.0,4,0.0,0.0,2400,0.0,0.0,66.46054
1,30,1,116.678795,12000.0,5,948.0,4400.0,2400,2795.0,4400.0,35.76183
1,31,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,32,1,76.73464,7200.0,3,338.0,2100.0,2400,330.0,2100.0,59.20056
1,33,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,0,2,83.20874,7200.0,3,0.0,0.0,2400,0.0,0.0,65.57005
