Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,135.0,0.0
1,0,0,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,135.0,0.0
2,0,0,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,135.0,0.0
3,0,0,11.654058,20.354166,20.354166,28.166666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,135.0,0.0
4,0,0,21.284498,22.1875,22.1875,22.566666,3.4028235E38,3.4028235E38,1.8333334,0.0,0.0,1.9073486E-6,22.1875,135.0,0.054166675
5,0,0,32.727272,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,0.0,29.620834,135.0,0.0
6,0,0,5.625,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.620834,180.0,0.0
7,0,0,25.72699,28.676727,28.676727,40.0,3.4028235E38,3.4028235E38,0.0,0.9441069,0.0,1.9073486E-6,29.620834,180.0,0.0
8,0,0,8.01207,28.676727,28.676727,46.39794,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.676727,180.0,0.0
9,0,0,100.42688,30.325562,30.325562,40.0,3.4028235E38,3.4028235E38,2.6041667,0.95533204,0.0,7.6293945E-6,31.280893,225.0,0.04583335
10,0,0,9.081123,30.325562,30.325562,43.85648,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.325562,180.0,0.0
11,0,0,40.36444,32.589962,32.589962,40.0,3.4028235E38,3.4028235E38,3.0125,0.74810183,0.0,0.0,33.338062,225.0,0.17499995
12,0,0,9.819294,32.589962,32.589962,43.88387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.589962,180.0,0.0
13,0,0,92.67032,25.660057,25.660057,40.0,3.4028235E38,3.4028235E38,2.8583333,9.7882395,0.0,0.0,35.448296,225.0,0.049999952
14,0,0,27.46273,25.660057,25.660057,38.283333,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,25.660057,180.0,0.0
15,0,0,20.807953,27.376724,27.376724,48.4625,3.4028235E38,3.4028235E38,1.7166667,0.0,0.0,0.0,27.376724,180.0,0.09166658
16,0,0,34.76116,28.914225,28.914225,50.0,3.4028235E38,3.4028235E38,1.5375,0.0,0.0,0.0,28.914225,225.0,0.024999976
