Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,135.0,0.0
1,0,0,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,135.0,0.0
2,0,0,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,135.0,0.0
3,0,0,11.654058,20.354166,20.354166,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,135.0,0.0
4,0,0,21.284498,22.241667,22.241667,22.566666,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,1.9073486E-6,22.241667,135.0,0.0
5,0,0,32.727276,29.675,29.675,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,3.8146973E-6,29.675,135.0,0.0
6,0,0,5.625,29.675,29.675,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.675,180.0,0.0
7,0,0,25.726986,28.729166,28.729166,40.0,3.4028235E38,3.4028235E38,0.0,0.94583327,0.0,0.0,29.675,180.0,0.0
8,0,0,8.012072,28.729166,28.729166,46.352108,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.729166,180.0,0.0
9,0,0,100.42687,30.420832,30.420832,40.0,3.4028235E38,3.4028235E38,2.65,0.9583333,0.0,0.0,31.379166,225.0,0.0
10,0,0,9.081125,30.420832,30.420832,43.68148,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.420832,180.0,0.0
11,0,0,40.36445,32.854164,32.854164,40.0,3.4028235E38,3.4028235E38,3.1875,0.7541666,0.0,3.8146973E-6,33.60833,225.0,0.0
12,0,0,9.819294,32.854164,32.854164,43.83387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.854164,180.0,0.0
13,0,0,92.67033,25.887497,25.887497,40.0,3.4028235E38,3.4028235E38,2.9083333,9.874999,0.0,0.0,35.762497,225.0,0.0
14,0,0,27.46273,25.887497,25.887497,38.191666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,25.887497,180.0,0.0
15,0,0,20.807953,27.69583,27.69583,48.4375,3.4028235E38,3.4028235E38,1.8083333,0.0,0.0,0.0,27.69583,180.0,0.0
16,0,0,34.76116,29.25833,29.25833,50.0,3.4028235E38,3.4028235E38,1.5625,0.0,0.0,0.0,29.25833,225.0,0.0
