scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,75.99862,7200.0,3,0.0,0.0,2400,0.0,0.0,67.10648
1,1,0,78.05054,7200.0,3,0.0,0.0,2400,82.0,2100.0,65.34228
1,2,0,77.57853,7200.0,3,0.0,0.0,2400,409.0,2100.0,64.682846
1,3,0,67.09783,7200.0,3,0.0,0.0,2400,0.0,0.0,68.690735
1,4,0,81.44078,7200.0,3,453.0,2100.0,2400,0.0,0.0,62.155594
1,5,0,135.0,7200.0,3,1784.0,2200.0,2400,0.0,0.0,47.607445
1,6,0,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,47.607445
1,7,0,101.813416,9600.0,4,0.0,0.0,2400,227.0,2100.0,63.355904
1,8,0,97.90478,9600.0,4,0.0,0.0,2400,0.0,0.0,67.6065
1,9,0,127.098206,11745.038,5,636.0,2100.0,2400,230.0,2100.0,57.081844
1,10,0,105.76822,9600.0,4,0.0,0.0,2400,0.0,0.0,66.41881
1,11,0,136.61502,11236.466,5,765.0,2100.0,2400,181.0,2100.0,57.02155
1,12,0,118.35031,9600.0,4,0.0,0.0,2400,0.0,0.0,64.29216
1,13,0,142.92262,11172.377,5,698.0,4400.0,2400,2370.0,4400.0,58.12236
1,14,0,85.96271,9600.0,4,0.0,0.0,2400,0.0,0.0,69.064835
1,15,0,99.893616,9600.0,4,434.0,2100.0,2400,0.0,0.0,63.77785
1,16,0,96.72745,12000.0,5,375.0,2100.0,2400,0.0,0.0,69.389915
1,17,0,96.72745,12000.0,5,0.0,0.0,2400,0.0,0.0,69.742355
1,18,0,96.72745,12000.0,5,0.0,0.0,2400,378.0,2100.0,69.742355
1,19,0,94.84345,9600.0,4,0.0,0.0,2400,301.0,2100.0,67.14221
1,20,0,88.13348,9600.0,4,0.0,0.0,2400,0.0,0.0,68.83876
1,21,0,103.90466,9600.0,4,518.0,2100.0,2400,0.0,0.0,63.375397
1,22,0,97.27432,9600.0,4,0.0,0.0,2400,0.0,0.0,67.69515
1,23,0,98.045876,9600.0,4,0.0,0.0,2400,326.0,2100.0,67.16244
1,24,0,91.42544,9600.0,4,0.0,0.0,2400,0.0,0.0,68.460144
1,25,0,110.45525,9600.0,4,701.0,2100.0,2400,0.0,0.0,63.011936
1,26,0,116.41711,9600.0,4,330.0,2100.0,2400,0.0,0.0,62.619663
1,27,0,111.27227,9600.0,4,0.0,0.0,2400,0.0,0.0,65.51498
1,28,0,110.10663,9600.0,4,0.0,0.0,2400,653.0,2100.0,65.51498
1,29,0,98.2402,9600.0,4,0.0,0.0,2400,0.0,0.0,67.5589
1,30,0,137.42664,11929.3955,5,945.0,4400.0,2400,2781.0,4400.0,55.121693
1,31,0,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
