Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,57.574707,21.25,21.25,30,3.40E+38,3.40E+38,0,0,0,0,21.25,135
1,0,0,22.173447,20.908333,20.908333,30,3.40E+38,3.40E+38,0,0.34166667,0,0,21.25,135
2,0,0,22.039356,19.204166,19.204166,30,3.40E+38,3.40E+38,0,1.7041665,0,0,20.908333,135
3,0,0,10.8652725,19.204166,19.204166,28.1125,3.40E+38,3.40E+38,0,0,0,0,19.204166,135
4,0,0,20.051708,21.091667,21.091667,22.566666,3.40E+38,3.40E+38,1.8875,0,0,0,21.091667,135
5,0,0,32.727272,28.525002,28.525002,40,3.40E+38,3.40E+38,7.4333334,0,0,0,28.525002,135
6,0,0,5.625,28.525002,28.525002,40,3.40E+38,3.40E+38,0,0,0,0,28.525002,180
7,0,0,24.682037,27.579168,27.579168,40,3.40E+38,3.40E+38,0,0.9458334,0,0,28.525002,180
8,0,0,7.602453,27.579168,27.579168,46.28766,3.40E+38,3.40E+38,0,0,0,0,27.579168,180
9,0,0,96.286514,29.270834,29.270834,40,3.40E+38,3.40E+38,2.65,0.9583334,0,0,30.229168,225
10,0,0,8.613699,29.270834,29.270834,43.631107,3.40E+38,3.40E+38,0,0,0,0,29.270834,180
11,0,0,38.81108,31.704168,31.704168,40,3.40E+38,3.40E+38,3.1875,0.7541667,0,0,32.458336,225
12,0,0,9.302156,31.704168,31.704168,43.643238,3.40E+38,3.40E+38,0,0,0,9.54E-07,31.704168,180
13,0,0,89.32664,24.737503,24.737503,40,3.40E+38,3.40E+38,2.9083333,9.875001,0,0,34.612503,225
14,0,0,26.049305,24.737503,24.737503,38.191666,3.40E+38,3.40E+38,0,0,0,0,24.737503,180
15,0,0,19.865208,26.545835,26.545835,48.4375,3.40E+38,3.40E+38,1.8083333,0,0,0,26.545835,180
16,0,0,33.286697,28.108335,28.108335,50,3.40E+38,3.40E+38,1.5625,0,0,0,28.108335,225
