scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC
0,0,0,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,0,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,0,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,0,112.617645,6651.3784,3,1300.0,1999.9849,2400,0.0,0.0
0,4,0,108.04414,6857.091,3,0.0,0.0,2400,0.0,0.0
0,0,1,90.931,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,1,90.931,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,1,90.931,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,1,128.57056,6651.3833,3,1300.0,1999.9863,2400,0.0,0.0
0,4,1,120.33621,6857.096,3,0.0,0.0,2400,0.0,0.0
0,0,2,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,2,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,2,75.18928,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,2,120.52525,6579.3213,3,1500.0,1978.3182,2400,0.0,0.0
0,4,2,116.07751,6782.805,3,0.0,0.0,2400,0.0,0.0
0,0,3,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,1,3,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,2,3,57.5233,6857.143,3,0.0,0.0,2400,0.0,0.0
0,3,3,94.00253,6651.371,3,1500.0,1999.9828,2400,0.0,0.0
0,4,3,86.05031,6857.0835,3,0.0,0.0,2400,0.0,0.0
