Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,135
1,0,0,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,135
2,0,0,37.594635,416.66666,416.66666,445.9482,3.40E+38,3.40E+38,0,0,0,0,416.66666,135
3,0,0,56.308838,525,525,571.42426,3.40E+38,3.40E+38,108.333336,0,0,1.14E-05,525,135
4,0,0,54.022095,525,525,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.29E-05,525,135
0,0,1,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
1,0,1,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
2,0,1,37.594635,416.66666,416.66666,445.9482,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
3,0,1,56.308838,525,525,571.42426,3.40E+38,3.40E+38,108.333336,0,0,1.14E-05,525,157.98015
4,0,1,54.022095,525,525,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.29E-05,525,170.34073
0,0,2,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
1,0,2,37.594635,416.66666,416.66666,571.4286,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
2,0,2,37.594635,416.66666,416.66666,445.9482,3.40E+38,3.40E+38,0,0,0,0,416.66666,252.81253
3,0,2,56.308838,525,525,571.42426,3.40E+38,3.40E+38,108.333336,0,0,1.14E-05,525,157.98015
4,0,2,54.022095,525,525,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.29E-05,525,170.34073
0,1,0,45.465515,475,475,571.4286,3.40E+38,3.40E+38,0,0,0,1.53E-05,475,252.81253
1,1,0,45.465515,475,475,571.4286,3.40E+38,3.40E+38,0,0,0,1.53E-05,475,252.81253
2,1,0,58.563904,461.9016,475,461.9016,3.40E+38,3.40E+38,0,0,0,13.098404,461.9016,252.81253
3,1,0,64.28528,554.2819,554.2819,571.4247,3.40E+38,3.40E+38,92.38032,0,0,0,554.2819,157.98042
4,1,0,60.16815,554.2819,554.2819,3.40E+38,3.40E+38,3.40E+38,0,0,0,4.58E-05,554.2819,170.34105
0,1,1,45.465515,475,475,571.4286,3.40E+38,3.40E+38,0,0,0,1.53E-05,475,208.40625
1,1,1,45.465515,475,475,571.4286,512.5264,3.40E+38,0,0,0,1.53E-05,475,208.40625
2,1,1,71.66229,461.9016,488.0984,461.9016,3.40E+38,3.40E+38,0,0,0,26.196793,461.9016,218.3774
3,1,1,64.28528,554.2819,554.2819,571.4247,3.40E+38,3.40E+38,92.38032,0,0,0,554.2819,135
4,1,1,60.16809,554.282,554.282,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,554.282,148.05002
0,1,2,45.465515,475,475,571.4286,3.40E+38,3.40E+38,0,0,0,1.53E-05,475,208.40625
1,1,2,45.465515,475,475,512.5264,499.42804,3.40E+38,0,0,0,1.53E-05,475,208.40625
