Scen,Segment ,Period,SC
0,0,0,6571.4287
0,0,1,6571.4287
0,0,2,6571.4287
0,0,3,6571.4287
0,0,4,6571.4287
0,1,0,1904.762
0,1,1,1904.762
0,1,2,1904.762
0,1,3,1904.762
0,1,4,1904.762
0,2,0,6571.4287
0,2,1,6571.4287
0,2,2,6571.4287
0,2,3,6571.4287
0,2,4,6571.4287
0,3,0,1904.762
0,3,1,1904.762
0,3,2,1904.762
0,3,3,1904.762
0,3,4,1904.762
0,4,0,6571.4287
0,4,1,6571.4287
0,4,2,6571.4287
0,4,3,6571.4287
0,4,4,6571.4287
0,5,0,1904.762
0,5,1,1904.762
0,5,2,1904.762
0,5,3,1904.762
0,5,4,1904.762
0,6,0,6571.4287
0,6,1,6571.4287
0,6,2,6571.4287
0,6,3,6571.4287
0,6,4,6571.4287
0,7,0,1904.762
0,7,1,1904.762
0,7,2,1904.762
0,7,3,1904.762
0,7,4,1904.762
0,8,0,6571.4287
0,8,1,6571.4287
0,8,2,6571.4287
0,8,3,6571.4287
0,8,4,6571.4287
0,9,0,1904.762
0,9,1,1904.762
0,9,2,1904.762
0,9,3,1904.762
0,9,4,1904.762
0,10,0,6571.4287
0,10,1,6571.4287
0,10,2,6571.4287
0,10,3,6571.4287
0,10,4,6571.4287
