scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC
0,0,0,91.331245,9142.857,4,0,0,2400,0,0
0,1,0,93.9401,9142.857,4,0,0,2400,0,0
0,2,0,93.9401,9142.857,4,0,0,2400,0,0
0,3,0,104.88927,6857.143,3,0,0,2400,0,0
0,4,0,91.331245,9142.857,4,0,0,2400,0,0
0,0,1,111.645935,9142.857,4,0,0,2400,0,0
0,1,1,117.62304,9142.857,4,0,0,2400,0,0
0,2,1,117.62304,9142.857,4,0,0,2400,0,0
0,3,1,128.57143,6857.143,3,0,0,2400,0,0
0,4,1,104.159134,9142.857,4,0,0,2400,0,0
0,0,2,100.92404,9142.857,4,0,0,2400,0,0
0,1,2,104.95243,9142.857,4,0,0,2400,0,0
0,2,2,104.95243,9142.857,4,0,0,2400,0,0
0,3,2,122.204575,6857.143,3,0,0,2400,0,0
0,4,2,100.92404,9142.857,4,0,0,2400,0,0
0,0,3,71.57836,9142.857,4,0,0,2400,0,0
0,1,3,72.16121,9142.857,4,0,0,2400,0,0
0,2,3,72.16121,9142.857,4,0,0,2400,0,0
0,3,3,75.18928,6857.143,3,0,0,2400,0,0
0,4,3,71.57836,9142.857,4,0,0,2400,0,0
