Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,45.66565,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,180
1,0,0,46.97003,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,0,516.6667,180
2,0,0,46.97003,516.6667,516.6667,571.4286,3.40E+38,3.40E+38,0,0,0,0,516.6667,180
3,0,0,52.44464,516.6667,516.6667,761.9048,3.40E+38,3.40E+38,0,0,0,7.63E-06,516.6667,135
4,0,0,45.66565,516.6667,516.6667,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,180
0,0,1,45.66565,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,366.68747
1,0,1,46.97003,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,0,516.6667,345.98685
2,0,1,46.97003,516.6667,516.6667,571.4286,3.40E+38,3.40E+38,0,0,0,0,516.6667,345.98685
3,0,1,52.44464,516.6667,516.6667,761.9048,3.40E+38,3.40E+38,0,0,0,7.63E-06,516.6667,176.68748
4,0,1,45.66565,516.6667,516.6667,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,366.68747
0,0,2,45.66565,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,366.68747
1,0,2,46.97003,516.6667,516.6667,723.8096,3.40E+38,3.40E+38,0,0,0,0,516.6667,345.98685
2,0,2,46.97003,516.6667,516.6667,571.4286,3.40E+38,3.40E+38,0,0,0,0,516.6667,345.98685
3,0,2,52.44464,516.6667,516.6667,761.9048,3.40E+38,3.40E+38,0,0,0,7.63E-06,516.6667,176.68748
4,0,2,45.66565,516.6667,516.6667,3.40E+38,3.40E+38,3.40E+38,0,0,0,2.67E-05,516.6667,366.68747
0,1,0,55.822998,600,600,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,600,366.68747
1,1,0,58.811523,600,600,723.8096,3.40E+38,3.40E+38,0,0,0,7.63E-06,600,345.98685
2,1,0,87.382935,571.4286,600,571.4286,3.40E+38,3.40E+38,0,0,0,28.571419,571.4286,345.98685
3,1,0,64.285706,571.4286,571.4286,761.9048,3.40E+38,3.40E+38,0,0,0,0,571.4286,176.68748
4,1,0,52.07959,571.4286,571.4286,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.91E-05,571.4286,366.68747
0,1,1,55.822998,600,600,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,600,303.25
1,1,1,58.811523,600,600,723.8096,635.09827,3.40E+38,0,0,0,7.63E-06,600,279.21057
2,1,1,115.954346,571.4286,628.5714,571.4286,3.40E+38,3.40E+38,0,0,0,57.14283,571.4286,302.10526
3,1,1,64.285706,571.4286,571.4286,761.9048,3.40E+38,3.40E+38,0,0,0,0,571.4286,135
4,1,1,52.07959,571.4286,571.4286,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.91E-05,571.4286,324.99997
0,1,2,55.822998,600,600,723.8096,3.40E+38,3.40E+38,0,0,0,2.67E-05,600,303.25
1,1,2,58.811523,600,600,635.09827,606.52686,3.40E+38,0,0,0,7.63E-06,600,279.21057
2,1,2,144.52576,571.4286,657.1428,571.4286,3.40E+38,3.40E+38,0,0,0,85.71424,571.4286,302.10526
3,1,2,64.285706,571.4286,571.4286,761.9048,3.40E+38,3.40E+38,0,0,0,0,571.4286,135
4,1,2,52.07959,571.4286,571.4286,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.91E-05,571.4286,324.99997
0,2,0,50.462036,558.3333,558.3333,723.8096,3.40E+38,3.40E+38,0,0,0,1.53E-05,558.3333,303.25
1,2,0,52.476196,558.3333,558.3333,606.52686,577.95544,3.40E+38,0,0,0,0,558.3333,279.21057
2,2,0,125.095215,571.4286,644.04755,571.4286,3.40E+38,3.40E+38,0,0,0,72.619,571.4286,302.10526
3,2,0,61.102295,571.4286,571.4286,761.9048,3.40E+38,3.40E+38,0,0,0,1.14E-05,571.4286,135
4,2,0,50.462036,571.4286,571.4286,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.53E-05,571.4286,324.99997
0,2,1,50.462036,558.3333,558.3333,723.8096,3.40E+38,3.40E+38,0,0,0,1.53E-05,558.3333,334.96878
1,2,1,52.476196,558.3333,558.3333,577.95544,597.386,3.40E+38,0,0,0,0,558.3333,312.59875
2,2,1,111.99994,571.4286,630.95233,571.4286,3.40E+38,3.40E+38,0,0,0,59.523727,571.4286,302.10526
