Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,35.789185,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,180
1,0,0,36.080597,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,0,250,180
2,0,0,36.080597,250,250,342.85715,3.40E+38,3.40E+38,0,0,0,0,250,180
3,0,0,37.594635,250,250,457.14288,3.40E+38,3.40E+38,0,0,0,0,250,135
4,0,0,35.789185,250,250,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,180
0,0,1,35.789185,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
1,0,1,36.080597,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
2,0,1,36.080597,250,250,342.85715,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
3,0,1,37.594635,250,250,457.14288,3.40E+38,3.40E+38,0,0,0,0,250,252.8125
4,0,1,35.789185,250,250,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
0,0,2,35.789185,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
1,0,2,36.080597,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
2,0,2,36.080597,250,250,342.85715,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
3,0,2,37.594635,250,250,457.14288,3.40E+38,3.40E+38,0,0,0,0,250,252.8125
4,0,2,35.789185,250,250,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
0,0,3,35.789185,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
1,0,3,36.080597,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
2,0,3,36.080597,250,250,342.85715,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
3,0,3,37.594635,250,250,457.14288,3.40E+38,3.40E+38,0,0,0,0,250,252.8125
4,0,3,35.789185,250,250,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
0,0,4,35.789185,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
1,0,4,36.080597,250,250,434.28574,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
2,0,4,36.080597,250,250,342.85715,3.40E+38,3.40E+38,0,0,0,0,250,426.11844
3,0,4,37.594635,250,250,457.14288,3.40E+38,3.40E+38,0,0,0,0,250,252.8125
4,0,4,35.789185,250,250,3.40E+38,3.40E+38,3.40E+38,0,0,0,3.81E-06,250,442.81253
0,1,0,45.66562,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,0,310,442.81253
1,1,0,46.970062,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,426.11844
2,1,0,46.970062,310,310,342.85715,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,426.11844
3,1,0,52.44464,310,310,457.14288,3.40E+38,3.40E+38,0,0,0,7.63E-06,310,252.8125
4,1,0,45.66562,310,310,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,310,442.81253
0,1,1,45.66562,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
1,1,1,46.970062,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
2,1,1,46.970062,310,310,342.85715,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
3,1,1,52.44464,310,310,457.14288,3.40E+38,3.40E+38,0,0,0,7.63E-06,310,176.68748
4,1,1,45.66562,310,310,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
0,1,2,45.66562,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
1,1,2,46.970062,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
2,1,2,46.970062,310,310,342.85715,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
3,1,2,52.44464,310,310,457.14288,3.40E+38,3.40E+38,0,0,0,7.63E-06,310,176.68748
4,1,2,45.66562,310,310,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
0,1,3,45.66562,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
1,1,3,46.970062,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
2,1,3,46.970062,310,310,342.85715,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
3,1,3,52.44464,310,310,457.14288,3.40E+38,3.40E+38,0,0,0,7.63E-06,310,176.68748
4,1,3,45.66562,310,310,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
0,1,4,45.66562,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
1,1,4,46.970062,310,310,434.28574,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
2,1,4,46.970062,310,310,342.85715,3.40E+38,3.40E+38,0,0,0,1.14E-05,310,345.98688
3,1,4,52.44464,310,310,457.14288,3.40E+38,3.40E+38,0,0,0,7.63E-06,310,176.68748
4,1,4,45.66562,310,310,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,310,366.68753
0,2,0,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,366.68753
1,2,0,58.811523,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,7.63E-06,360,345.98688
2,2,0,75.95438,342.85715,360,342.85715,3.40E+38,3.40E+38,0,0,0,17.14286,342.85715,345.98688
3,2,0,64.285736,342.85715,342.85715,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,176.68748
4,2,0,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,366.68753
0,2,1,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,303.25003
1,2,1,58.811523,360,360,434.28574,417.9554,3.40E+38,0,0,0,7.63E-06,360,279.21054
2,2,1,93.09723,342.85715,377.14285,342.85715,3.40E+38,3.40E+38,0,0,0,34.285713,342.85715,302.1053
3,2,1,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,2,1,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,2,2,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,303.25003
1,2,2,58.811523,360,360,417.9554,400.81256,3.40E+38,0,0,0,7.63E-06,360,279.21054
2,2,2,110.24008,342.85715,394.2857,342.85715,3.40E+38,3.40E+38,0,0,0,51.428566,342.85715,302.1053
3,2,2,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,2,2,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,2,3,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,303.25003
1,2,3,58.811523,360,360,400.81256,383.6697,3.40E+38,0,0,0,7.63E-06,360,279.21054
2,2,3,127.382935,342.85715,411.42856,342.85715,3.40E+38,3.40E+38,0,0,0,68.57142,342.85715,302.1053
3,2,3,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,2,3,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,2,4,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,303.25003
1,2,4,58.811523,360,360,383.6697,366.52686,3.40E+38,0,0,0,7.63E-06,360,279.21054
2,2,4,144.52579,342.85715,428.5714,342.85715,3.40E+38,3.40E+38,0,0,0,85.71427,342.85715,302.1053
3,2,4,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,2,4,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,3,0,55.822968,360,360,434.28574,3.40E+38,3.40E+38,0,0,0,0,360,303.25003
1,3,0,69.42752,349.384,360,366.52686,349.384,3.40E+38,0,0,0,10.616005,349.384,279.21054
2,3,0,151.05264,342.85715,435.09827,342.85715,3.40E+38,3.40E+38,0,0,0,92.24113,342.85715,302.1053
3,3,0,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,3,0,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,3,1,55.822968,360,360,434.28574,426.65073,3.40E+38,0,0,0,0,360,303.25003
1,3,1,86.57037,342.85715,370.616,349.384,342.85715,3.40E+38,0,0,0,27.758858,342.85715,293.3885
2,3,1,151.05264,342.85715,435.09827,342.85715,3.40E+38,3.40E+38,0,0,0,92.24113,342.85715,302.1053
3,3,1,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,3,1,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,3,2,55.822968,360,360,426.65073,407.33942,3.40E+38,0,0,0,0,360,303.25003
1,3,2,103.71323,342.85715,387.75885,342.85715,342.85715,3.40E+38,0,0,0,44.90171,342.85715,302.1053
2,3,2,151.05264,342.85715,435.09827,342.85715,3.40E+38,3.40E+38,0,0,0,92.24113,342.85715,302.1053
3,3,2,64.285736,342.85715,342.85718,457.14288,3.40E+38,3.40E+38,0,0,0,2.29E-05,342.85715,135
4,3,2,52.07956,342.85715,342.85715,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,342.85715,325.00003
0,3,3,55.822968,360,360,407.33942,390.19656,3.40E+38,0,0,0,0,360,303.25003
1,3,3,120.85608,342.85715,404.9017,342.85715,342.85715,3.40E+38,0,0,0,62.044563,342.85715,302.1053
