scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC
1,0,0,75.083336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,1,0,91.72468,6900.0,3,450.0,2000.0,2400,0.0,0.0
1,2,0,82.65004,6900.0,3,0.0,0.0,2400,0.0,0.0
1,3,0,88.24747,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,4,0,78.083336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,5,0,108.190186,8458.705,4,540.0,2000.0,2400,360.0,2000.0
1,6,0,81.09484,6900.0,3,0.0,0.0,2400,0.0,0.0
1,7,0,99.17125,6900.0,3,450.0,2000.0,2400,0.0,0.0
1,8,0,99.17125,6900.0,3,0.0,0.0,2400,0.0,0.0
1,9,0,94.85462,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,10,0,84.25323,6900.0,3,0.0,0.0,2400,0.0,0.0
1,0,1,82.65004,6900.0,3,0.0,0.0,2400,0.0,0.0
1,1,1,103.01193,6900.0,3,540.0,2000.0,2400,0.0,0.0
1,2,1,93.093925,6900.0,3,0.0,0.0,2400,0.0,0.0
1,3,1,98.37331,6900.0,3,0.0,0.0,2400,360.0,2000.0
1,4,1,85.90721,6900.0,3,0.0,0.0,2400,0.0,0.0
1,5,1,124.40044,8467.286,4,720.0,2000.0,2400,360.0,2000.0
1,6,1,93.093925,6900.0,3,0.0,0.0,2400,0.0,0.0
1,7,1,114.90932,6900.0,3,540.0,2000.0,2400,0.0,0.0
1,8,1,114.90932,6900.0,3,0.0,0.0,2400,0.0,0.0
1,9,1,108.29538,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,10,1,99.1862,6900.0,3,0.0,0.0,2400,0.0,0.0
1,0,2,87.61497,6900.0,3,0.0,0.0,2400,0.0,0.0
1,1,2,110.93126,6900.0,3,630.0,2000.0,2400,0.0,0.0
1,2,2,101.37376,6900.0,3,0.0,0.0,2400,0.0,0.0
1,3,2,104.90332,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,4,2,95.05101,6900.0,3,0.0,0.0,2400,0.0,0.0
1,5,2,137.57077,8510.606,4,810.0,2000.0,2400,360.0,2000.0
1,6,2,106.01534,6900.0,3,0.0,0.0,2400,0.0,0.0
1,7,2,130.53374,6900.0,3,630.0,2000.0,2400,0.0,0.0
1,8,2,130.53374,6900.0,3,0.0,0.0,2400,0.0,0.0
1,9,2,120.76132,6900.0,3,0.0,0.0,2400,450.0,2000.0
1,10,2,111.05299,6900.0,3,0.0,0.0,2400,0.0,0.0
1,0,3,78.083336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,1,3,93.5621,6900.0,3,360.0,2000.0,2400,0.0,0.0
1,2,3,84.25323,6900.0,3,0.0,0.0,2400,0.0,0.0
1,3,3,89.89311,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,4,3,79.583336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,5,3,102.88447,8591.73,4,360.0,2000.0,2400,360.0,2000.0
1,6,3,79.583336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,7,3,97.28941,6900.0,3,450.0,2000.0,2400,0.0,0.0
1,8,3,97.28941,6900.0,3,0.0,0.0,2400,0.0,0.0
1,9,3,93.196526,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,10,3,82.65004,6900.0,3,0.0,0.0,2400,0.0,0.0
1,0,4,63.083332,6900.0,3,0.0,0.0,2400,0.0,0.0
1,1,4,72.161606,6900.0,3,180.0,2000.0,2400,0.0,0.0
1,2,4,66.083336,6900.0,3,0.0,0.0,2400,0.0,0.0
1,3,4,70.36644,6900.0,3,0.0,0.0,2400,270.0,2000.0
1,4,4,61.583332,6900.0,3,0.0,0.0,2400,0.0,0.0
1,5,4,75.288666,8653.401,4,270.0,2000.0,2400,180.0,2000.0
1,6,4,63.083332,6900.0,3,0.0,0.0,2400,0.0,0.0
1,7,4,73.88716,6900.0,3,270.0,2000.0,2400,0.0,0.0
1,8,4,73.88716,6900.0,3,0.0,0.0,2400,0.0,0.0
1,9,4,71.80527,6900.0,3,0.0,0.0,2400,180.0,2000.0
1,10,4,64.583336,6900.0,3,0.0,0.0,2400,0.0,0.0
