Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,75.08334,225.25,225.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,225.25,135
1,0,0,26.058151,247.75,247.75,345,3.40E+38,3.40E+38,22.5,0,0,3.81E-06,247.75,135
2,0,0,35.68979,247.75,247.75,345,3.40E+38,3.40E+38,0,0,0,0.00E+00,247.75,135
3,0,0,25.070312,234.25,234.25,345,3.40E+38,3.40E+38,0,13.5,0,9.54E-06,247.75,135
4,0,0,78.08334,234.25,234.25,395.93524,3.40E+38,3.40E+38,0,0,0,7.63E-06,234.25,135
5,0,0,54.095093,243.25,243.25,345,3.40E+38,3.40E+38,27,18,0,0.00E+00,261.25,180
6,0,0,81.09485,243.25,243.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,243.25,135
7,0,0,21.411987,265.75,265.75,345,3.40E+38,3.40E+38,22.5,0,0,1.34E-05,265.75,135
8,0,0,6.761688,265.75,265.75,345,3.40E+38,3.40E+38,0,0,0,1.24E-05,265.75,135
9,0,0,20.47998,252.25,252.25,345,3.40E+38,3.40E+38,0,13.5,0,5.72E-06,265.75,135
10,0,0,84.253235,252.25,252.25,3.40E+38,3.40E+38,3.40E+38,0,0,0,7.63E-06,252.25,135
0,0,1,75.08334,225.25,225.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,225.25,285.98914
1,0,1,26.058151,247.75,247.75,345,3.40E+38,3.40E+38,22.5,0,0,3.81E-06,247.75,257.61957
2,0,1,35.68979,247.75,247.75,345,3.40E+38,3.40E+38,0,0,0,0.00E+00,247.75,257.61957
3,0,1,25.070297,234.25002,234.25002,345,3.40E+38,3.40E+38,0,13.5,0,0,247.75002,257.61957
4,0,1,78.08334,234.25003,234.25003,395.93524,3.40E+38,3.40E+38,0,0,0,7.63E-06,234.25003,274.6413
5,0,1,54.095093,243.25003,243.25003,345,3.40E+38,3.40E+38,27,18.000002,0,0.00E+00,261.25003,401.73
6,0,1,81.09485,243.25003,243.25003,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,243.25003,263.2935
7,0,1,21.411987,265.75003,265.75003,345,3.40E+38,3.40E+38,22.5,0,0,1.34E-05,265.75003,234.9239
8,0,1,6.761688,265.75003,265.75003,345,3.40E+38,3.40E+38,0,0,0,1.24E-05,265.75003,234.9239
9,0,1,20.47998,252.25003,252.25003,345,3.40E+38,3.40E+38,0,13.500002,0,5.72E-06,265.75003,234.9239
10,0,1,84.253235,252.25003,252.25003,3.40E+38,3.40E+38,3.40E+38,0,0,0,7.63E-06,252.25003,251.94566
0,0,2,75.08334,225.25,225.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,225.25,285.98914
1,0,2,26.058151,247.75,247.75,345,3.40E+38,3.40E+38,22.5,0,0,3.81E-06,247.75,257.61957
2,0,2,35.68979,247.75,247.75,345,3.40E+38,3.40E+38,0,0,0,0.00E+00,247.75,257.61957
3,0,2,25.070312,234.25,234.25,345,3.40E+38,3.40E+38,0,13.5,0,9.54E-06,247.75,257.61954
4,0,2,78.08334,234.25,234.25,395.93524,3.40E+38,3.40E+38,0,0,0,7.63E-06,234.25,274.64127
5,0,2,54.095093,243.25,243.25,345,3.40E+38,3.40E+38,27,18,0,0.00E+00,261.25,401.72998
6,0,2,81.09485,243.25,243.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,243.25,263.29346
7,0,2,21.411987,265.75,265.75,345,3.40E+38,3.40E+38,22.5,0,0,1.34E-05,265.75,234.92389
8,0,2,6.761688,265.75,265.75,345,3.40E+38,3.40E+38,0,0,0,1.24E-05,265.75,234.92389
9,0,2,20.47998,252.25,252.25,345,3.40E+38,3.40E+38,0,13.5,0,5.72E-06,265.75,234.92389
10,0,2,84.253235,252.25,252.25,3.40E+38,3.40E+38,3.40E+38,0,0,0,7.63E-06,252.25,251.94562
0,0,3,75.08334,225.25,225.25,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,225.25,285.98914
1,0,3,26.058151,247.75,247.75,345,3.40E+38,3.40E+38,22.5,0,0,3.81E-06,247.75,257.61957
2,0,3,35.68979,247.75,247.75,345,3.40E+38,3.40E+38,0,0,0,0.00E+00,247.75,257.61957
3,0,3,25.070297,234.25002,234.25002,345,3.40E+38,3.40E+38,0,13.5,0,0,247.75002,257.61957
4,0,3,78.08334,234.25003,234.25003,395.93524,3.40E+38,3.40E+38,0,0,0,7.63E-06,234.25003,274.6413
5,0,3,54.095093,243.25003,243.25003,345,3.40E+38,3.40E+38,27,18.000002,0,0.00E+00,261.25003,401.73
6,0,3,81.09485,243.25003,243.25003,322.5,3.40E+38,3.40E+38,0,0,0,7.63E-06,243.25003,263.2935
7,0,3,21.411987,265.75003,265.75003,345,3.40E+38,3.40E+38,22.5,0,0,1.34E-05,265.75003,234.9239
8,0,3,6.761688,265.75003,265.75003,345,3.40E+38,3.40E+38,0,0,0,1.24E-05,265.75003,234.9239
9,0,3,20.47998,252.25003,252.25003,345,3.40E+38,3.40E+38,0,13.500002,0,5.72E-06,265.75003,234.9239
