Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,180
1,0,0,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,180
2,0,0,35.789177,20.833334,20.833334,28.57143,3.40E+38,3.40E+38,0,0,0,0,20.833334,180
3,0,0,37.594635,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,135
4,0,0,35.789177,20.833334,20.833334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20.833334,180
0,0,1,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
1,0,1,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
2,0,1,35.789177,20.833334,20.833334,28.57143,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
3,0,1,37.594635,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,252.8125
4,0,1,35.789177,20.833334,20.833334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
0,0,2,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
1,0,2,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
2,0,2,35.789177,20.833334,20.833334,28.57143,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
3,0,2,37.594635,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,252.8125
4,0,2,35.789177,20.833334,20.833334,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
0,0,3,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
1,0,3,35.789177,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
2,0,3,35.789177,20.833334,20.833334,28.57143,3.40E+38,3.40E+38,0,0,0,0,20.833334,442.81247
3,0,3,37.594635,20.833334,20.833334,38.095238,3.40E+38,3.40E+38,0,0,0,0,20.833334,252.8125
