Seg,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,28.655655,200,200,235.2,3.40E+38,3.40E+38,0,0,0,0,200,135
2,0,0,32.7079,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,90
3,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
4,0,0,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,135
0,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,28.655655,200,200,235.2,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,1,32.7079,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,133.40135
3,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,1,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,2,28.655655,200,200,235.2,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,2,32.7079,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,133.40135
3,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,2,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,28.655655,200,200,235.2,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,3,32.7079,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,133.40135
3,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
4,0,3,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,28.655655,200,200,235.2,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,4,32.7079,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,133.40135
