scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,75.083336,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
1,1,0,91.72468,6900.0,3,450.0,2000.0,2400,0.0,0.0,54.020363
1,2,0,82.65004,6900.0,3,0.0,0.0,2400,0.0,0.0,59.72013
1,3,0,88.24747,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.148922
1,4,0,78.083336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.98413
1,5,0,108.190186,8458.705,4,540.0,2000.0,2400,360.0,2000.0,48.294582
1,6,0,81.09484,6900.0,3,0.0,0.0,2400,0.0,0.0,59.980843
1,7,0,99.17125,6900.0,3,450.0,2000.0,2400,0.0,0.0,53.594162
1,8,0,99.17125,6900.0,3,0.0,0.0,2400,0.0,0.0,53.594162
1,9,0,94.85462,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.033115
1,10,0,84.25323,6900.0,3,0.0,0.0,2400,0.0,0.0,59.879013
1,0,1,83.44546,6900.0,3,0.0,0.0,2400,0.0,0.0,59.919376
1,1,1,103.976746,6900.0,3,540.0,2000.0,2400,0.0,0.0,53.281143
1,2,1,94.06372,6900.0,3,0.0,0.0,2400,0.0,0.0,58.896244
1,3,1,99.20902,6900.0,3,0.0,0.0,2400,360.0,2000.0,55.841694
1,4,1,86.754166,6900.0,3,0.0,0.0,2400,0.0,0.0,59.708942
1,5,1,125.49899,8470.782,4,720.0,2000.0,2400,360.0,2000.0,47.01233
1,6,1,94.06372,6900.0,3,0.0,0.0,2400,0.0,0.0,58.896244
1,7,1,115.93628,6900.0,3,540.0,2000.0,2400,0.0,0.0,52.442604
1,8,1,115.93628,6900.0,3,0.0,0.0,2400,0.0,0.0,52.442604
1,9,1,109.14705,6900.0,3,0.0,0.0,2400,270.0,2000.0,55.704666
1,10,1,100.269455,6900.0,3,0.0,0.0,2400,0.0,0.0,57.94386
1,0,2,105.083405,6900.0,3,0.0,0.0,2400,0.0,0.0,57.097504
1,1,2,129.61485,6900.0,3,630.0,2000.0,2400,0.0,0.0,51.151546
1,2,2,124.50731,6900.0,3,0.0,0.0,2400,0.0,0.0,53.249886
1,3,2,119.686745,6900.0,3,0.0,0.0,2400,270.0,2000.0,53.249886
1,4,2,115.43742,6900.0,3,0.0,0.0,2400,0.0,0.0,54.14636
1,5,2,157.36224,8554.952,4,810.0,2000.0,2400,360.0,2000.0,31.011068
1,6,2,131.32346,6900.0,3,0.0,0.0,2400,0.0,0.0,37.299004
1,7,2,135.0,6900.0,3,630.0,2000.0,2400,0.0,0.0,50.407013
1,8,2,135.0,6900.0,3,0.0,0.0,2400,0.0,0.0,50.407013
1,9,2,125.256294,6900.0,3,0.0,0.0,2400,450.0,2000.0,51.11111
1,10,2,118.32155,6900.0,3,0.0,0.0,2400,0.0,0.0,54.293056
1,0,3,93.200836,6900.0,3,0.0,0.0,2400,0.0,0.0,59.01235
1,1,3,110.86594,6900.0,3,360.0,2000.0,2400,0.0,0.0,52.856636
1,2,3,101.49779,6900.0,3,0.0,0.0,2400,0.0,0.0,57.735252
1,3,3,104.99724,6900.0,3,0.0,0.0,2400,270.0,2000.0,55.81107
1,4,3,95.16181,6900.0,3,0.0,0.0,2400,0.0,0.0,59.05841
1,5,3,121.52303,8636.127,4,360.0,2000.0,2400,360.0,2000.0,42.778477
1,6,3,95.16181,6900.0,3,0.0,0.0,2400,0.0,0.0,49.880882
1,7,3,114.946205,6900.0,3,450.0,2000.0,2400,0.0,0.0,51.344376
1,8,3,114.946205,6900.0,3,0.0,0.0,2400,0.0,0.0,51.344376
1,9,3,108.38994,6900.0,3,0.0,0.0,2400,270.0,2000.0,53.612015
1,10,3,99.30555,6900.0,3,0.0,0.0,2400,0.0,0.0,55.5995
1,0,4,63.083332,6900.0,3,0.0,0.0,2400,0.0,0.0,60.0
1,1,4,72.161606,6900.0,3,180.0,2000.0,2400,0.0,0.0,54.94612
1,2,4,66.083336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.763462
1,3,4,70.36644,6900.0,3,0.0,0.0,2400,270.0,2000.0,56.348957
1,4,4,61.583332,6900.0,3,0.0,0.0,2400,0.0,0.0,59.984955
1,5,4,75.288666,8653.401,4,270.0,2000.0,2400,180.0,2000.0,52.66397
1,6,4,63.083332,6900.0,3,0.0,0.0,2400,0.0,0.0,59.987995
1,7,4,73.88716,6900.0,3,270.0,2000.0,2400,0.0,0.0,54.88043
1,8,4,73.88716,6900.0,3,0.0,0.0,2400,0.0,0.0,54.88043
1,9,4,71.80527,6900.0,3,0.0,0.0,2400,180.0,2000.0,56.47203
1,10,4,64.583336,6900.0,3,0.0,0.0,2400,0.0,0.0,59.98054
