Seg,Period,Step ,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,Sf,KQ
0,0,0,75.083336,18.770834,18.770834,26.875,3.40E+38,3.40E+38,0,0,0,0,18.770834,135
1,0,0,26.058146,20.645834,20.645834,28.75,3.40E+38,3.40E+38,1.875,0,0,0.00E+00,20.645834,135
2,0,0,35.68979,20.645834,20.645834,28.75,3.40E+38,3.40E+38,0,0,0,0,20.645834,135
3,0,0,25.070303,19.520834,19.520834,28.75,3.40E+38,3.40E+38,0,1.125,0,0.00E+00,20.645834,135
4,0,0,78.083336,19.520834,19.520834,32.994606,3.40E+38,3.40E+38,0,0,0,0,19.520834,135
5,0,0,54.095093,20.270834,20.270834,28.75,3.40E+38,3.40E+38,2.25,1.5,0,0.00E+00,21.770834,180
6,0,0,81.09484,20.270834,20.270834,26.875,3.40E+38,3.40E+38,0,0,0,0,20.270834,135
7,0,0,21.411974,22.145834,22.145834,28.75,3.40E+38,3.40E+38,1.875,0,0,0,22.145834,135
8,0,0,6.761675,22.145834,22.145834,28.75,3.40E+38,3.40E+38,0,0,0,0,22.145834,135
9,0,0,20.479975,21.020834,21.020834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,22.145834,135
10,0,0,84.25323,21.020834,21.020834,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,21.020834,135
0,0,1,75.083336,18.770834,18.770834,26.875,3.40E+38,3.40E+38,0,0,0,0,18.770834,285.9891
1,0,1,26.058146,20.645834,20.645834,28.75,3.40E+38,3.40E+38,1.875,0,0,0,20.645834,257.61957
2,0,1,35.68979,20.645834,20.645834,28.75,3.40E+38,3.40E+38,0,0,0,0,20.645834,257.61957
3,0,1,25.070303,19.520834,19.520834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,20.645834,257.61957
4,0,1,78.083336,19.520834,19.520834,32.994606,3.40E+38,3.40E+38,0,0,0,0,19.520834,274.6413
5,0,1,54.095093,20.270834,20.270834,28.75,3.40E+38,3.40E+38,2.25,1.5,0,0,21.770834,401.73004
6,0,1,81.09484,20.270834,20.270834,26.875,3.40E+38,3.40E+38,0,0,0,0,20.270834,263.29346
7,0,1,21.411974,22.145834,22.145834,28.75,3.40E+38,3.40E+38,1.875,0,0,0,22.145834,234.9239
8,0,1,6.761675,22.145834,22.145834,28.75,3.40E+38,3.40E+38,0,0,0,0,22.145834,234.9239
9,0,1,20.479975,21.020834,21.020834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,22.145834,234.9239
10,0,1,84.25323,21.020834,21.020834,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,21.020834,251.94565
0,0,2,75.083336,18.770834,18.770834,26.875,3.40E+38,3.40E+38,0,0,0,0,18.770834,285.9891
1,0,2,26.058146,20.645834,20.645834,28.75,3.40E+38,3.40E+38,1.875,0,0,0.00E+00,20.645834,257.61957
2,0,2,35.68979,20.645834,20.645834,28.75,3.40E+38,3.40E+38,0,0,0,0,20.645834,257.61957
3,0,2,25.070303,19.520834,19.520834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,20.645834,257.61957
4,0,2,78.083336,19.520834,19.520834,32.994606,3.40E+38,3.40E+38,0,0,0,0,19.520834,274.6413
5,0,2,54.095093,20.270834,20.270834,28.75,3.40E+38,3.40E+38,2.25,1.5,0,0,21.770834,401.73004
6,0,2,81.09484,20.270834,20.270834,26.875,3.40E+38,3.40E+38,0,0,0,0,20.270834,263.29346
7,0,2,21.411974,22.145834,22.145834,28.75,3.40E+38,3.40E+38,1.875,0,0,0,22.145834,234.9239
8,0,2,6.761675,22.145834,22.145834,28.75,3.40E+38,3.40E+38,0,0,0,0,22.145834,234.9239
9,0,2,20.479975,21.020834,21.020834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,22.145834,234.9239
10,0,2,84.25323,21.020834,21.020834,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,21.020834,251.94565
0,0,3,75.083336,18.770834,18.770834,26.875,3.40E+38,3.40E+38,0,0,0,0,18.770834,285.9891
1,0,3,26.058146,20.645834,20.645834,28.75,3.40E+38,3.40E+38,1.875,0,0,0,20.645834,257.61957
2,0,3,35.68979,20.645834,20.645834,28.75,3.40E+38,3.40E+38,0,0,0,0,20.645834,257.61957
3,0,3,25.070303,19.520834,19.520834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,20.645834,257.61957
4,0,3,78.083336,19.520834,19.520834,32.994606,3.40E+38,3.40E+38,0,0,0,0,19.520834,274.6413
5,0,3,54.095093,20.270834,20.270834,28.75,3.40E+38,3.40E+38,2.25,1.5,0,0,21.770834,401.73004
6,0,3,81.09484,20.270834,20.270834,26.875,3.40E+38,3.40E+38,0,0,0,0,20.270834,263.29346
7,0,3,21.411974,22.145834,22.145834,28.75,3.40E+38,3.40E+38,1.875,0,0,0.00E+00,22.145834,234.9239
8,0,3,6.761675,22.145834,22.145834,28.75,3.40E+38,3.40E+38,0,0,0,0,22.145834,234.9239
9,0,3,20.479975,21.020834,21.020834,28.75,3.40E+38,3.40E+38,0,1.125,0,0,22.145834,234.9239
10,0,3,84.25323,21.020834,21.020834,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,21.020834,251.94565
0,0,4,75.083336,18.770834,18.770834,26.875,3.40E+38,3.40E+38,0,0,0,0,18.770834,285.9891
1,0,4,26.058146,20.645834,20.645834,28.75,3.40E+38,3.40E+38,1.875,0,0,0.00E+00,20.645834,257.61957
2,0,4,35.68979,20.645834,20.645834,28.75,3.40E+38,3.40E+38,0,0,0,0,20.645834,257.61957
