scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,48.95714,7200.0,3,0.0,0.0,2400,0.0,0.0,70.0
1,1,0,52.23391,7200.0,3,0.0,0.0,2400,68.0,2100.0,65.60872
1,2,0,51.75123,7200.0,3,0.0,0.0,2400,342.0,2100.0,64.90667
1,3,0,43.1,7200.0,3,0.0,0.0,2400,0.0,0.0,69.24393
1,4,0,53.140804,7200.0,3,379.0,2100.0,2400,0.0,0.0,63.905693
1,5,0,79.46331,7200.0,3,1493.0,2200.0,2400,0.0,0.0,61.52525
1,6,0,79.46331,9600.0,4,0.0,0.0,2400,0.0,0.0,61.52525
1,7,0,71.686966,9600.0,4,0.0,0.0,2400,190.0,2100.0,67.48546
1,8,0,67.12857,9600.0,4,0.0,0.0,2400,0.0,0.0,69.36034
1,9,0,87.27604,11676.455,5,534.0,2100.0,2400,193.0,2100.0,59.959183
1,10,0,72.04288,9600.0,4,0.0,0.0,2400,0.0,0.0,69.72242
1,11,0,99.42079,11040.522,5,734.85,2100.0,2400,152.0,2100.0,58.084934
1,12,0,80.892426,9600.0,4,0.0,0.0,2400,0.0,0.0,67.47396
1,13,0,104.55693,11087.0205,5,672.75,4400.0,2400,1983.0,4400.0,60.212173
1,14,0,61.608574,9600.0,4,0.0,0.0,2400,0.0,0.0,69.81509
1,15,0,72.693886,9600.0,4,417.44998,2100.0,2400,0.0,0.0,65.06806
1,16,0,72.73072,12000.0,5,361.1,2100.0,2400,0.0,0.0,69.51642
1,17,0,72.73072,12000.0,5,0.0,0.0,2400,0.0,0.0,69.93668
1,18,0,72.73072,12000.0,5,0.0,0.0,2400,317.0,2100.0,69.98928
1,19,0,70.253845,9600.0,4,0.0,0.0,2400,252.0,2100.0,67.95572
1,20,0,64.60215,9600.0,4,0.0,0.0,2400,0.0,0.0,69.8494
1,21,0,77.66381,9600.0,4,499.09998,2100.0,2400,0.0,0.0,64.65369
1,22,0,71.768456,9600.0,4,0.0,0.0,2400,0.0,0.0,69.02429
1,23,0,73.91649,9600.0,4,0.0,0.0,2400,272.0,2100.0,67.9314
1,24,0,67.846436,9600.0,4,0.0,0.0,2400,0.0,0.0,69.782364
1,25,0,84.23669,9600.0,4,675.05,2100.0,2400,0.0,0.0,64.39356
1,26,0,89.315865,9600.0,4,295.55,2100.0,2400,0.0,0.0,64.040695
1,27,0,82.43292,9600.0,4,0.0,0.0,2400,0.0,0.0,69.387924
1,28,0,85.38714,9600.0,4,0.0,0.0,2400,546.0,2100.0,66.98725
1,29,0,74.01905,9600.0,4,0.0,0.0,2400,0.0,0.0,69.77806
1,30,0,86.894615,12000.0,5,908.5,4400.0,2400,2328.0,4400.0,69.99686
1,31,0,58.03376,4800.0,2,0.0,0.0,2400,0.0,0.0,64.69252
1,32,0,58.51271,7200.0,3,324.3,2100.0,2400,274.0,2100.0,69.70537
1,33,0,59.178608,4800.0,2,0.0,0.0,2400,0.0,0.0,64.29095
1,0,1,84.152534,7200.0,3,0.0,0.0,2400,0.0,0.0,65.35751
1,1,1,84.29918,7200.0,3,0.0,0.0,2400,70.0,2100.0,65.24381
1,2,1,83.92371,7200.0,3,0.0,0.0,2400,354.0,2100.0,64.701614
1,3,1,75.53759,7200.0,3,0.0,0.0,2400,0.0,0.0,67.19832
1,4,1,88.78323,7200.0,3,391.0,2100.0,2400,0.0,0.0,61.576942
1,5,1,135.0,7200.0,3,1541.0,2200.0,2400,0.0,0.0,47.09369
1,6,1,135.0,9600.0,4,0.0,0.0,2400,0.0,0.0,47.09369
1,7,1,104.25185,9600.0,4,0.0,0.0,2400,196.0,2100.0,63.20347
1,8,1,101.56302,9600.0,4,0.0,0.0,2400,0.0,0.0,67.071655
1,9,1,127.59093,11807.307,5,551.0,2100.0,2400,198.0,2100.0,57.707867
1,10,1,108.63637,9600.0,4,0.0,0.0,2400,0.0,0.0,65.95399
1,11,1,141.62115,11178.168,5,760.14996,2100.0,2400,157.0,2100.0,55.960213
1,12,1,122.08872,9600.0,4,0.0,0.0,2400,0.0,0.0,63.627075
1,13,1,145.21967,11434.13,5,694.6,4400.0,2400,2047.0,4400.0,58.27551
1,14,1,94.19479,9600.0,4,0.0,0.0,2400,0.0,0.0,68.1115
1,15,1,108.10451,9600.0,4,431.25,2100.0,2400,0.0,0.0,63.336864
1,16,1,104.161835,12000.0,5,372.6,2100.0,2400,0.0,0.0,69.31138
1,17,1,104.161835,12000.0,5,0.0,0.0,2400,0.0,0.0,69.31138
1,18,1,104.161835,12000.0,5,0.0,0.0,2400,327.0,2100.0,69.31138
1,19,1,102.86896,9600.0,4,0.0,0.0,2400,260.0,2100.0,66.83235
1,20,1,98.1581,9600.0,4,0.0,0.0,2400,0.0,0.0,67.57058
1,21,1,113.77617,9600.0,4,515.2,2100.0,2400,0.0,0.0,62.823345
1,22,1,108.27931,9600.0,4,0.0,0.0,2400,0.0,0.0,66.01262
1,23,1,106.68626,9600.0,4,0.0,0.0,2400,281.0,2100.0,66.01262
1,24,1,102.627464,9600.0,4,0.0,0.0,2400,0.0,0.0,66.90995
1,25,1,121.3253,9600.0,4,696.89996,2100.0,2400,0.0,0.0,62.342308
1,26,1,126.91547,9600.0,4,305.9,2100.0,2400,0.0,0.0,62.00663
1,27,1,124.55053,9600.0,4,0.0,0.0,2400,0.0,0.0,63.18398
1,28,1,118.958244,9600.0,4,0.0,0.0,2400,565.0,2100.0,63.18398
1,29,1,111.58496,9600.0,4,0.0,0.0,2400,0.0,0.0,65.462234
1,30,1,121.78897,12000.0,5,937.25,4400.0,2400,2405.0,4400.0,31.212542
1,31,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,32,1,76.66946,7200.0,3,334.65,2100.0,2400,284.0,2100.0,56.7981
1,33,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,0,2,74.096664,7200.0,3,0.0,0.0,2400,0.0,0.0,67.47942
1,1,2,76.46647,7200.0,3,0.0,0.0,2400,72.0,2100.0,65.38816
1,2,2,76.05819,7200.0,3,0.0,0.0,2400,365.0,2100.0,64.79265
1,3,2,66.315544,7200.0,3,0.0,0.0,2400,0.0,0.0,68.80718
1,4,2,79.71962,7200.0,3,404.0,2100.0,2400,0.0,0.0,62.30575
1,5,2,126.16841,7200.0,3,1590.0,2200.0,2400,0.0,0.0,51.969364
1,6,2,126.16841,9600.0,4,0.0,0.0,2400,0.0,0.0,51.969364
1,7,2,97.24902,9600.0,4,0.0,0.0,2400,202.0,2100.0,64.65013
1,8,2,93.1124,9600.0,4,0.0,0.0,2400,0.0,0.0,68.25062
1,9,2,119.34807,11773.258,5,567.0,2100.0,2400,205.0,2100.0,57.998425
1,10,2,99.745094,9600.0,4,0.0,0.0,2400,0.0,0.0,67.34131
1,11,2,133.57907,11140.591,5,784.3,2100.0,2400,161.0,2100.0,56.15625
1,12,2,112.35393,9600.0,4,0.0,0.0,2400,0.0,0.0,65.33145
1,13,2,137.43796,11338.564,5,716.45,4400.0,2400,2113.0,4400.0,58.620995
1,14,2,86.07431,9600.0,4,0.0,0.0,2400,0.0,0.0,69.053314
1,15,2,100.20247,9600.0,4,445.05,2100.0,2400,0.0,0.0,63.7587
1,16,2,97.157135,12000.0,5,385.25,2100.0,2400,0.0,0.0,69.38804
1,17,2,97.157135,12000.0,5,0.0,0.0,2400,0.0,0.0,69.72244
1,18,2,97.157135,12000.0,5,0.0,0.0,2400,337.0,2100.0,69.72244
1,19,2,95.79703,9600.0,4,0.0,0.0,2400,268.0,2100.0,67.1946
1,20,2,89.86997,9600.0,4,0.0,0.0,2400,0.0,0.0,68.64364
1,21,2,105.91591,9600.0,4,531.3,2100.0,2400,0.0,0.0,63.260777
1,22,2,99.42995,9600.0,4,0.0,0.0,2400,0.0,0.0,67.386894
1,23,2,99.73357,9600.0,4,0.0,0.0,2400,291.0,2100.0,67.18241
1,24,2,94.08021,9600.0,4,0.0,0.0,2400,0.0,0.0,68.125755
1,25,2,113.48783,9600.0,4,719.89996,2100.0,2400,0.0,0.0,62.81919
1,26,2,119.174515,9600.0,4,315.1,2100.0,2400,0.0,0.0,62.465645
1,27,2,114.63126,9600.0,4,0.0,0.0,2400,0.0,0.0,64.940575
1,28,2,112.294205,9600.0,4,0.0,0.0,2400,582.0,2100.0,64.940575
1,29,2,102.54058,9600.0,4,0.0,0.0,2400,0.0,0.0,66.922325
1,30,2,114.402084,12000.0,5,968.3,4400.0,2400,2480.0,4400.0,18.81545
1,31,2,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,32,2,76.87105,7200.0,3,345.0,2100.0,2400,293.0,2100.0,45.371357
1,33,2,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0,53.333332
1,0,3,28.571428,7200.0,3,0.0,0.0,2400,0.0,0.0,70.0
