Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,135
1,0,0,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,135
2,0,0,14.702055,12.570832,12.570832,30,3.40E+38,3.40E+38,0,1.425,0,9.54E-07,13.995832,135
3,0,0,6.9792624,12.570832,12.570832,28.420834,3.40E+38,3.40E+38,0,0,0,9.54E-07,12.570832,135
4,0,0,13.083911,14.149999,14.149999,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,9.54E-07,14.149999,135
5,0,0,19.263834,20.370832,20.370832,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370832,135
6,0,0,3.3109722,20.370832,20.370832,40,3.40E+38,3.40E+38,0,0,0,9.54E-07,20.370832,180
7,0,0,17.378656,19.579166,19.579166,40,3.40E+38,3.40E+38,0,0.7916666,0,0,20.370832,180
8,0,0,5.212635,19.579166,19.579166,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579166,180
9,0,0,66.11821,21,21,40,3.40E+38,3.40E+38,2.225,0.8041667,0,0,21.804167,225
10,0,0,5.8671284,21,21,42.940304,3.40E+38,3.40E+38,0,0,0,0,21,180
11,0,0,28.244545,23.428541,23.428541,40,3.40E+38,3.40E+38,3.0618749,0.63333327,0,1.91E-06,24.061874,225
12,0,0,6.3580227,23.428541,23.428541,43.392796,3.40E+38,3.40E+38,0,0,0,9.54E-07,23.428541,180
13,0,0,65.34808,17.969166,17.969166,40,3.40E+38,3.40E+38,2.803125,8.2625,0,0,26.231667,225
14,0,0,18.669266,17.969166,17.969166,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.969166,180
15,0,0,14.456169,19.70854,19.70854,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.70854,180
16,0,0,25.028734,21.213123,21.213123,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213123,225
17,0,0,9.545906,21.213123,21.213123,50,3.40E+38,3.40E+38,0,0,0,0,21.213123,225
18,0,0,20.662136,19.89229,19.89229,40,3.40E+38,3.40E+38,0,1.3208331,0,0,21.213123,225
19,0,0,21.954329,18.84229,18.84229,40,3.40E+38,3.40E+38,0,1.0499998,0,1.91E-06,19.89229,180
20,0,0,19.209352,18.84229,18.84229,37.920418,3.40E+38,3.40E+38,0,0,0,1.91E-06,18.84229,180
21,0,0,22.063583,20.921875,20.921875,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921875,180
22,0,0,8.155506,20.921875,20.921875,40,3.40E+38,3.40E+38,0,0,0,0,20.921875,180
23,0,0,20.999,19.788542,19.788542,40,3.40E+38,3.40E+38,0,1.1333332,0,0,20.921875,180
24,0,0,16.447618,19.788542,19.788542,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788542,180
25,0,0,20.740091,22.60125,22.60125,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.60125,180
26,0,0,25.373825,23.832708,23.832708,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832708,180
27,0,0,104.60238,23.832708,23.832708,40,3.40E+38,3.40E+38,0,0,0,0,23.832708,180
28,0,0,24.257708,21.557709,21.557709,40,3.40E+38,3.40E+38,0,2.275,0,0,23.832708,180
29,0,0,24.112267,21.557709,21.557709,46.214584,3.40E+38,3.40E+38,0,0,0,0,21.557709,180
30,0,0,104.99766,15.643125,15.643125,20,3.40E+38,3.40E+38,3.7854166,9.7,0,0,25.343124,225
