Seg,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,36.13762,225,225,359.99603,3.40E+38,3.40E+38,25,0,0,0,225,135
2,0,0,32.62845,225,225,239.99734,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,135
3,0,0,39.30887,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0,225,90
4,0,0,32.62845,225,225,3.60E+02,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,135
5,0,0,32.62845,225,225,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,225,135
0,0,1,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,36.13762,225,225,359.99603,3.40E+38,3.40E+38,25,0,0,0.00E+00,225,298.122
2,0,1,32.62845,225,225,239.99734,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
3,0,1,39.30887,225,225,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,225,108.12198
4,0,1,32.62845,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
5,0,1,32.62845,225,225,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,225,298.122
0,0,2,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.3333
1,0,2,36.13762,225,225,359.99603,3.40E+38,3.40E+38,25,0,0,0,225,298.122
2,0,2,32.62845,225,225,2.40E+02,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
3,0,2,39.30887,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0,225,108.12198
4,0,2,32.62845,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
5,0,2,32.62845,225,225,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
0,0,3,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,36.13762,225,225,3.60E+02,3.40E+38,3.40E+38,25,0,0,0,225,298.122
2,0,3,32.62845,225,225,239.99734,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
3,0,3,39.30887,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0,225,108.12198
4,0,3,32.62845,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
5,0,3,32.62845,225,225,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,225,298.122
0,0,4,28.655655,200,200,3.35E+02,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,36.13762,225,225,359.99603,3.40E+38,3.40E+38,25,0,0,0,225,298.122
2,0,4,32.62845,225,225,239.99734,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
3,0,4,39.30887,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0,225,108.12198
4,0,4,32.62845,225,225,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
5,0,4,32.62845,225,225,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,225,298.122
0,1,0,33.472076,230,230,334.9965,3.40E+38,3.40E+38,0,0,0,0,230,328.3333
1,1,0,41.496613,255,255,359.9965,3.40E+38,3.40E+38,25,0,0,1.14E-05,255,298.12234
2,1,0,53.00177,239.99765,255,239.99765,3.40E+38,3.40E+38,0,0,0,15.002354,239.99765,298.12234
3,1,0,44.999573,239.99765,239.99765,359.9965,3.40E+38,3.40E+38,0,0,0,1.14E-05,239.99765,108.122345
4,1,0,35.21704,239.99765,239.99765,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,239.99765,298.12234
5,1,0,35.21704,239.99765,239.99765,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99765,298.12234
0,1,1,33.472076,230,230,334.9965,3.40E+38,3.40E+38,0,0,0,0,230,292.08334
1,1,1,41.496597,255.00002,255.00002,359.9965,3.27E+02,3.40E+38,25,0,0,0,255.00002,261.872
2,1,1,68.00412,239.99765,270.00238,239.99765,3.40E+38,3.40E+38,0,0,0,3.00E+01,239.99765,280
3,1,1,44.999573,239.99765,239.99767,3.60E+02,3.40E+38,3.40E+38,0,0,0,1.14E-05,239.99765,90
4,1,1,35.21704,239.99765,239.99765,359.9965,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99765,280
5,1,1,35.21704,239.99765,239.99765,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99765,280
0,1,2,33.472076,230,230,334.9965,3.40E+38,3.40E+38,0,0,0,0,230,292.08334
1,1,2,41.496582,255,255,326.99588,3.12E+02,3.40E+38,25,0,0,0,255,261.87198
2,1,2,83.00647,239.99765,285.0047,2.40E+02,3.40E+38,3.40E+38,0,0,0,45.007053,239.99765,280
3,1,2,44.999573,239.99765,239.99767,359.9965,3.40E+38,3.40E+38,0,0,0,1.14E-05,239.99765,90
4,1,2,35.21704,239.99765,239.99765,359.9965,3.40E+38,3.40E+38,0,0,0,0,239.99765,280
5,1,2,35.21704,239.99765,239.99765,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99765,280
0,1,3,33.472076,230,230,334.9965,3.40E+38,3.40E+38,0,0,0,0.00E+00,230,292.08334
1,1,3,41.496582,255,255,3.12E+02,2.97E+02,3.40E+38,25,0,0,0.00E+00,255,261.872
2,1,3,98.00882,239.99765,300.00705,239.99765,3.40E+38,3.40E+38,0,0,0,60.009403,239.99765,280
3,1,3,44.999573,239.99765,239.99767,359.9965,3.40E+38,3.40E+38,0,0,0,1.14E-05,239.99765,90
4,1,3,35.21704,239.99765,239.99765,359.9965,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99765,280
5,1,3,35.21704,239.99765,239.99765,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99765,280
0,1,4,33.472076,230,230,3.35E+02,3.40E+38,3.40E+38,0,0,0,0,230,292.08334
1,1,4,41.496582,255,255,296.99118,2.82E+02,3.40E+38,25,0,0,0,255,261.872
2,1,4,113.01117,239.99765,315.0094,239.99765,3.40E+38,3.40E+38,0,0,0,75.01175,239.99765,280
3,1,4,44.999573,239.99765,239.99767,359.9965,3.40E+38,3.40E+38,0,0,0,1.14E-05,239.99765,90
4,1,4,35.21704,239.99765,239.99765,359.9965,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99765,280
5,1,4,35.21704,239.99765,239.99765,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99765,280
0,2,0,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0,200,292.08334
1,2,0,36.13762,225,225,281.98883,2.67E+02,3.40E+38,25,0,0,0,225,261.8716
2,2,0,92.64285,239.99734,300.01175,239.99734,3.40E+38,3.40E+38,0,0,0,6.00E+01,239.99734,279.99963
3,2,0,39.3089,239.99734,239.99736,359.99603,3.40E+38,3.40E+38,0,0,0,1.91E-05,239.99734,89.99963
4,2,0,32.62845,239.99734,239.99734,3.60E+02,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,279.99963
5,2,0,32.62845,239.99734,239.99734,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99734,279.99963
0,2,1,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,2,1,36.13762,225,225,266.9863,2.87E+02,3.40E+38,25,0,0,0.00E+00,225,298.122
2,2,1,77.64551,239.99734,285.0144,239.99734,3.40E+38,3.40E+38,0,0,0,4.50E+01,239.99734,280.00003
3,2,1,39.3089,239.99734,239.99736,3.60E+02,3.40E+38,3.40E+38,0,0,0,1.91E-05,239.99734,90
4,2,1,32.62845,239.99734,239.99734,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
5,2,1,32.62845,239.99734,239.99734,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
0,2,2,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.3333
1,2,2,36.13762,225,225,287.35452,3.02E+02,3.40E+38,25,0,0,0.00E+00,225,298.122
2,2,2,62.648163,239.99734,270.01706,2.40E+02,3.40E+38,3.40E+38,0,0,0,3.00E+01,239.99734,280.00003
3,2,2,39.3089,239.99734,239.99736,359.99603,3.40E+38,3.40E+38,0,0,0,1.91E-05,239.99734,90
4,2,2,32.62845,239.99734,239.99734,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
5,2,2,32.62845,239.99734,239.99734,3.40E+38,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
0,2,3,28.655655,200,200,334.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.3333
1,2,3,36.13762,225,225,3.02E+02,3.17E+02,3.40E+38,25,0,0,0,225,298.122
2,2,3,47.650818,239.99734,255.01971,239.99734,3.40E+38,3.40E+38,0,0,0,1.50E+01,239.99734,280.00003
3,2,3,39.3089,239.99734,239.99736,359.99603,3.40E+38,3.40E+38,0,0,0,1.91E-05,239.99734,90
4,2,3,32.62845,239.99734,239.99734,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
5,2,3,32.62845,239.99734,239.99734,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99734,280.00003
0,2,4,28.655655,200,200,3.35E+02,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,2,4,36.13762,225,225,317.3492,3.32E+02,3.40E+38,25,0,0,0.00E+00,225,298.122
2,2,4,32.653473,239.99734,240.02237,239.99734,3.40E+38,3.40E+38,0,0,0,2.50E-02,239.99734,280.00003
3,2,4,39.3089,239.99734,239.99736,359.99603,3.40E+38,3.40E+38,0,0,0,1.91E-05,239.99734,90
4,2,4,32.62845,239.99734,239.99734,359.99603,3.40E+38,3.40E+38,0,0,0,0.00E+00,239.99734,280.00003
5,2,4,32.62845,239.99734,239.99734,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,239.99734,280.00003
0,3,0,25,175,175,334.99548,3.40E+38,3.40E+38,0,0,0,0,175,328.3333
1,3,0,31.846695,200,200,332.34656,3.47E+02,3.40E+38,25,0,0,5.72E-06,200,298.12158
2,3,0,28.65567,200.02502,200.02502,239.997,3.40E+38,3.40E+38,0,0,0,0.00E+00,200.02502,279.9996
3,3,0,31.952896,200.02504,200.02504,359.99548,3.40E+38,3.40E+38,0,0,0,0.00E+00,200.02504,89.9996
4,3,0,28.655685,200.02504,200.02504,3.60E+02,3.40E+38,3.40E+38,0,0,0,5.72E-06,200.02504,279.9996
5,3,0,28.655685,200.02504,200.02504,3.40E+38,3.40E+38,3.40E+38,0,0,0,5.72E-06,200.02504,279.9996
0,3,1,25,175,175,334.99548,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
1,3,1,31.846695,200,200,347.34366,3.40E+38,3.40E+38,25,0,0,5.72E-06,200,328.33032
2,3,1,28.65567,200,200,239.997,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.30005
3,3,1,31.952896,200,200,3.60E+02,3.40E+38,3.40E+38,0,0,0,0,200,138.30005
4,3,1,28.655685,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.30005
5,3,1,28.655685,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.30005
0,3,2,25,175,175,334.99548,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
1,3,2,31.846695,200,200,359.99548,3.40E+38,3.40E+38,25,0,0,5.72E-06,200,328.33032
2,3,2,28.65567,200,200,239.997,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.33032
3,3,2,31.952896,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,0,200,138.3303
4,3,2,28.655685,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
5,3,2,28.655685,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
0,3,3,25,175,175,334.99548,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
1,3,3,31.846695,200,200,359.99548,3.40E+38,3.40E+38,25,0,0,5.72E-06,200,328.33032
2,3,3,28.65567,200,200,239.997,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.33032
3,3,3,31.952896,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,0,200,138.3303
4,3,3,28.655685,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
5,3,3,28.655685,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
0,3,4,25,175,175,334.99548,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
1,3,4,31.846695,200,200,359.99548,3.40E+38,3.40E+38,25,0,0,5.72E-06,200,328.33032
2,3,4,28.65567,200,200,239.997,3.40E+38,3.40E+38,0,0,0,0.00E+00,200,328.33032
3,3,4,31.952896,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,0,200,138.3303
4,3,4,28.655685,200,200,359.99548,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
5,3,4,28.655685,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,5.72E-06,200,328.33032
