Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
2,0,0,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,135
3,0,0,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,90
4,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
5,0,0,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,135
0,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,1,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
3,0,1,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
4,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
5,0,1,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,2,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
3,0,2,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
4,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
5,0,2,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,3,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
3,0,3,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
4,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
5,0,3,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,4,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
3,0,4,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
4,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
5,0,4,28.655655,200,200,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
0,1,0,42.076263,275,275,360,3.40E+38,3.40E+38,0,0,0,0,275,328.3333
1,1,0,42.076263,275,275,360,3.40E+38,3.40E+38,0,0,0,0,275,328.3333
2,1,0,77.07626,240,275,240,3.40E+38,3.40E+38,0,0,0,34.999996,240,328.3333
3,1,0,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,138.33333
4,1,0,35.217407,240,240,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,328.3333
5,1,0,35.217407,240,240,3.40E+38,3.40E+38,3.40E+38,0,0,0,1.53E-05,240,328.3333
