scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC
1,0,0,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0
1,1,0,61.96898,7200.0,3,0.0,0.0,2400,500.0,2100.0
1,2,0,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,3,0,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,4,0,52.632496,4800.0,2,0.0,0.0,2400,0.0,0.0
1,5,0,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,0,1,95.857994,7200.0,3,0.0,0.0,2400,0.0,0.0
1,1,1,93.35699,7200.0,3,0.0,0.0,2400,500.0,2100.0
1,2,1,84.152534,7200.0,3,0.0,0.0,2400,0.0,0.0
1,3,1,84.152534,7200.0,3,0.0,0.0,2400,0.0,0.0
1,4,1,90.0,4800.0,2,0.0,0.0,2400,0.0,0.0
1,5,1,70.434784,7200.0,3,0.0,0.0,2400,0.0,0.0
1,0,2,57.311325,7200.0,3,0.0,0.0,2400,0.0,0.0
1,1,2,61.96898,7200.0,3,0.0,0.0,2400,500.0,2100.0
1,2,2,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,3,2,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,4,2,52.632496,4800.0,2,0.0,0.0,2400,0.0,0.0
1,5,2,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,0,3,50.0,7200.0,3,0.0,0.0,2400,0.0,0.0
1,1,3,54.269863,7200.0,3,0.0,0.0,2400,500.0,2100.0
1,2,3,42.857143,7200.0,3,0.0,0.0,2400,0.0,0.0
1,3,3,42.857143,7200.0,3,0.0,0.0,2400,0.0,0.0
1,4,3,43.50453,4800.0,2,0.0,0.0,2400,0.0,0.0
1,5,3,42.857143,7200.0,3,0.0,0.0,2400,0.0,0.0
