Segment,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,UV,SF,KQ
0,0,0,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,135
1,0,0,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,135
2,0,0,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,135
3,0,0,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,135
4,0,0,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,135
0,0,1,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,1,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,1,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,1,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,1,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,2,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,2,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,2,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,2,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,2,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,3,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,3,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,3,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,3,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,3,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,4,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,4,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,4,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,4,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,4,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,5,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,5,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,5,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,5,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,5,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,6,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,6,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,6,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,6,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,6,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,7,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,7,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,7,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,7,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,7,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
0,0,8,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
1,0,8,37.594635,125,125,171.42857,3.40E+38,3.40E+38,0,0,0,125,252.8125
2,0,8,37.594635,125,125,138.92728,3.40E+38,3.40E+38,0,0,0,125,252.8125
3,0,8,56.308823,157.5,157.5,171.42728,3.40E+38,3.40E+38,32.5,0,0.00E+00,157.5,170.34073
4,0,8,54.022064,157.5,157.5,3.40E+38,3.40E+38,3.40E+38,0,0,0,157.5,170.34073
