Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV
0,0,0,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,0,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,0,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,0,18.77407,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,1.91E-06
4,0,0,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,1,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,1,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,1,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,1,18.774067,10.000002,10.000002,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,1,17.142857,10.000002,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,2,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,2,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,2,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,2,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,2,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,3,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,3,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,3,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,3,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,3,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,4,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,4,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,4,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,4,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,4,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,5,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,5,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,5,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,5,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,5,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,6,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,6,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,6,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,6,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,6,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,7,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,7,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,7,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,7,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,7,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,8,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,8,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,8,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,8,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,8,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,9,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,9,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,9,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,9,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,9,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
0,0,10,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
1,0,10,14.285714,8.333333,8.333333,2.86E+01,3.40E+38,3.40E+38,0,0,0,0
2,0,10,14.285714,8.333333,8.333333,2.69E+01,3.40E+38,3.40E+38,0,0,0,0
3,0,10,18.774067,10,10,2.86E+01,3.40E+38,3.40E+38,1.6666666,0,0,0
4,0,10,17.142857,10,1.00E+01,3.40E+38,3.40E+38,3.40E+38,0,0,0,0
